filename,I0_mean_orig,I0_mean_filt,I0_std_orig,I0_std_filt,tau_mean_orig,tau_mean_filt,tau_std_orig,tau_std_filt,B_mean_orig,B_mean_filt,B_std_orig,B_std_filt,residuals_std_mean_orig,residuals_std_mean_filt,residuals_std_std_orig,residuals_std_std_filt
processed_data_batch_33.npz,1.450354,1.450353,0.047774,0.047774,139.483165,139.483308,0.279850,0.279792,0.023076,0.023076,0.000096,0.000096,0.003292,0.002771,0.000060,0.000054
processed_data_batch_34.npz,1.450504,1.450384,0.042769,0.042951,139.535093,139.568982,0.938306,1.169473,0.023065,0.023046,0.000219,0.000307,0.003334,0.002828,0.000447,0.000535
processed_data_batch_35.npz,1.444351,1.444349,0.046886,0.046886,139.411402,139.411582,0.344973,0.344981,0.023080,0.023080,0.000100,0.000100,0.003306,0.002776,0.000061,0.000054
processed_data_batch_36.npz,1.448512,1.448510,0.049684,0.049684,139.378943,139.379101,0.321867,0.321823,0.023039,0.023039,0.000085,0.000085,0.003293,0.002768,0.000063,0.000054
processed_data_batch_37.npz,1.450507,1.450290,0.039002,0.038926,139.378603,139.434848,1.041318,1.140175,0.023071,0.023036,0.000205,0.000258,0.003395,0.002907,0.000642,0.000786
processed_data_batch_38.npz,1.454396,1.454381,0.035598,0.035638,139.250810,139.253452,0.920570,0.892792,0.023036,0.023035,0.000105,0.000105,0.003340,0.002827,0.000506,0.000602
processed_data_batch_39.npz,1.457150,1.457149,0.037585,0.037585,139.270772,139.270902,0.310741,0.310713,0.023087,0.023086,0.000093,0.000093,0.003289,0.002764,0.000063,0.000055
processed_data_batch_40.npz,1.444360,1.444203,0.060326,0.060399,139.158003,139.197087,1.634433,1.529053,0.023101,0.023078,0.000297,0.000214,0.003405,0.002909,0.000795,0.000969
processed_data_batch_41.npz,1.452809,1.452727,0.032364,0.032518,139.142108,139.163951,0.371903,0.504641,0.023101,0.023088,0.000202,0.000107,0.003325,0.002811,0.000197,0.000396
processed_data_batch_42.npz,1.437394,1.437392,0.071576,0.071576,139.039632,139.039794,0.328613,0.328628,0.023098,0.023098,0.000091,0.000091,0.003294,0.002770,0.000059,0.000062
processed_data_batch_43.npz,1.446672,1.446590,0.047482,0.047485,139.060895,139.082075,1.323694,1.336945,0.023084,0.023071,0.000235,0.000325,0.003379,0.002865,0.000706,0.000734
processed_data_batch_44.npz,1.452660,1.452659,0.038150,0.038150,138.674086,138.674267,0.335373,0.335330,0.023134,0.023134,0.000111,0.000111,0.003311,0.002789,0.000089,0.000094
