filename,Raw_successful_fits,Raw_I0_mean,Raw_Tau_mean,Raw_B_mean,Raw_Residuals_Std_mean,Raw_I0_std,Raw_Tau_std,Raw_B_std,Raw_Residuals_Std_std,Raw_I0_min,Raw_Tau_min,Raw_B_min,Raw_Residuals_Std_min,Raw_I0_max,Raw_Tau_max,Raw_B_max,Raw_Residuals_Std_max,Savitzky-Golay_successful_fits,Savitzky-Golay_I0_mean,Savitzky-Golay_Tau_mean,Savitzky-Golay_B_mean,Savitzky-Golay_Residuals_Std_mean,Savitzky-Golay_I0_std,Savitzky-Golay_Tau_std,Savitzky-Golay_B_std,Savitzky-Golay_Residuals_Std_std,Savitzky-Golay_I0_min,Savitzky-Golay_Tau_min,Savitzky-Golay_B_min,Savitzky-Golay_Residuals_Std_min,Savitzky-Golay_I0_max,Savitzky-Golay_Tau_max,Savitzky-Golay_B_max,Savitzky-Golay_Residuals_Std_max,TauPredictor_successful_fits,TauPredictor_I0_mean,TauPredictor_Tau_mean,TauPredictor_B_mean,TauPredictor_Residuals_Std_mean,TauPredictor_I0_std,TauPredictor_Tau_std,TauPredictor_B_std,TauPredictor_Residuals_Std_std,TauPredictor_I0_min,TauPredictor_Tau_min,TauPredictor_B_min,TauPredictor_Residuals_Std_min,TauPredictor_I0_max,TauPredictor_Tau_max,TauPredictor_B_max,TauPredictor_Residuals_Std_max
processed_data_batch_1.npz,150,1.4357736253424154,139.1743146509167,0.020698831380763554,0.00415309085640838,0.053912884895588556,2.5084190066412404,0.0011415772573347795,0.002175440223550788,1.1711215266501176,121.52225168502818,0.015442082272779985,0.0033646029994963576,1.4988415001759459,154.33681459991192,0.028921651369809072,0.020403888523892178,150,1.435777041181207,139.17391390454816,0.02069911448972872,0.0017421406881224484,0.053913328274118655,2.508846077339004,0.0011420250906688464,0.002658833496049276,1.1711415199989121,121.5231311465134,0.01543463237975383,0.0006624851515693611,1.4988811837889269,154.3484052596346,0.0289212304179237,0.020076028770012487,150,0.0,171.44475,0.0,0.0,0.0,4.9287252,0.0,0.0,0,129.80756,0,0,0,185.08786,0,0
processed_data_batch_2.npz,150,1.4461979583419153,139.71940203769424,0.01962716088085935,0.0034758801256910324,0.037339125540217566,0.33275632225109436,0.0005493723665674319,6.61751135456563e-05,1.2767497035527313,138.73914596795987,0.018563967451568877,0.003331197086952255,1.4860694650473105,140.3333417482364,0.020658348958981464,0.0036847156364335385,150,1.446200202160974,139.7191543442476,0.01962727411460463,0.0008038562279698521,0.037338101908055754,0.33320742724973884,0.00054942903446648,6.665726920547964e-05,1.2767594464678707,138.74075250865988,0.018564372439270293,0.0006611860224010518,1.486015307727259,140.33825436282504,0.020655620304302773,0.0010183208193149385,150,0.0,172.52278,0.0,0.0,0.0,1.6915078,0.0,0.0,0,165.21147,0,0,0,174.849,0,0
processed_data_batch_3.npz,150,1.45737474082758,139.3761236009034,0.018768030023998766,0.0034775042994466187,0.028372512061257925,0.3009628793115391,0.00015751475998285633,7.49029106814631e-05,1.3378314897348964,138.6507070185191,0.01843393882126304,0.003298892313964243,1.5052947354504096,140.22432782340545,0.01915253990062846,0.0036819224805273716,150,1.4573772087143761,139.37580338940646,0.018768298398967986,0.0007970591092389223,0.028375642204375363,0.30122294003697414,0.0001573473737824938,7.56644958760689e-05,1.337822113455179,138.6481486660214,0.01843357452581985,0.0006383579161490392,1.5053038282336555,140.22598517194265,0.019155066368382056,0.0010567425494897244,150,0.0,172.21909,0.0,0.0,0.0,1.1900822,0.0,0.0,0,167.0716,0,0,0,174.80968,0,0
processed_data_batch_4.npz,150,1.4487158547107637,139.42530557872794,0.01865055729514932,0.003473983304672401,0.03313953229934682,0.37585575757701334,0.00016023849611817683,6.695843427034067e-05,1.2917770954762715,138.45487947078072,0.018292140911371824,0.0033235499614459657,1.4995992356583239,140.37602062326636,0.019092833539434667,0.003641215283177404,150,1.4487180168097553,139.42499628196256,0.018650830232716853,0.0007958886400098667,0.03313850514691498,0.37582872362366126,0.00016025578725284035,7.700645921977878e-05,1.2917532290097948,138.45752558883083,0.018296101693781992,0.0006422781986483116,1.4996080034047456,140.36948219215495,0.019091256653262483,0.0010675699406971116,150,0.0,171.92778,0.0,0.0,0.0,1.5417058,0.0,0.0,0,164.59476,0,0,0,174.32083,0,0
processed_data_batch_5.npz,150,1.4219972761726782,139.79362693150676,0.018653354952343073,0.0034562205532034144,0.06648147718526175,0.22624722274817263,0.00014566377039425043,7.233953086955812e-05,1.137041833719331,139.20604763256776,0.01819876345092883,0.0032453854477395997,1.4939831988486325,140.37654402408936,0.019131786113533757,0.003646831850104161,150,1.4220001796400603,139.79320959548494,0.01865372514474648,0.0007942314397415397,0.06648099659590571,0.2258716170264454,0.0001456122447627206,7.284148911216794e-05,1.1370248689706595,139.2092050780476,0.018195531978768734,0.0006342607593599873,1.4939989347182572,140.38147699692306,0.01913292235539318,0.0010580689025874099,150,0.0,171.34735,0.0,0.0,0.0,2.910768,0.0,0.0,0,158.85501,0,0,0,174.64107,0,0
processed_data_batch_6.npz,150,1.443114193409248,139.6230550527635,0.018792468927024023,0.00348015675861692,0.03949783635285387,0.28123465853255714,0.00015246801776868526,6.529853516471275e-05,1.2353688553108773,138.81505171990034,0.018403574353549706,0.0033425638054126595,1.4926635579060192,140.3928157762344,0.01908268917094085,0.0036540066103053223,150,1.443120436395674,139.62234263152413,0.018792865110288628,0.0007963998321340053,0.03949976826163403,0.2809175723467809,0.00015239907926259134,7.239552550309322e-05,1.2353342675018613,138.8119812426039,0.018402087685017464,0.0006479641517809483,1.49267793049868,140.3919630107117,0.019079660701217607,0.0010615491464430486,150,0.0,172.01797,0.0,0.0,0.0,1.6714232,0.0,0.0,0,163.80098,0,0,0,174.6235,0,0
processed_data_batch_7.npz,150,1.4454575447971458,139.60527117525132,0.01882713445847587,0.003473083586526743,0.0344399661008822,0.2997533774357896,0.00013516697762298516,6.954102119876227e-05,1.3142402590924247,138.74618235443722,0.01854037405651854,0.003314699693396652,1.4960441654728083,140.41543137307153,0.019159220326309952,0.00364207252872466,150,1.4454605282196729,139.60491994558515,0.01882732819038036,0.0007903110107513247,0.034440612489334846,0.29941745334874753,0.00013500239095364425,6.740983520825057e-05,1.3142465177357583,138.7403224418067,0.018542649687835484,0.0006493204033409634,1.4960413873576182,140.4136690119924,0.01915797501359939,0.0010973739001491176,150,0.0,172.10579,0.0,0.0,0.0,1.5457067,0.0,0.0,0,166.44327,0,0,0,174.42303,0,0
processed_data_batch_8.npz,150,1.4552039937017172,139.49279623767117,0.01885108304851966,0.003478145910985623,0.028061030959565095,0.34835712464314683,0.0001641609916396721,6.41168180100806e-05,1.3551123429340297,138.7007071344622,0.018366244719045324,0.003319661101070403,1.4936394640722985,140.40147096671043,0.01924793020498188,0.0036685318117966746,150,1.455203327019142,139.49285838314856,0.018851081010646534,0.0007940764738428866,0.028064297227789334,0.3484267268714675,0.00016421662323253214,7.480084019361716e-05,1.3551101717718896,138.69942937611614,0.018363489577891145,0.0006417903964656495,1.4936295162446975,140.40838640186098,0.019247816550836124,0.0010503104467651336,150,0.0,172.33296,0.0,0.0,0.0,1.2215066,0.0,0.0,0,167.99861,0,0,0,174.73296,0,0
processed_data_batch_9.npz,150,1.4423527167140555,139.83938772985883,0.018779600397252127,0.00348997968031085,0.03955491004218796,0.259981204593538,0.0001416680181810817,6.600173747727561e-05,1.240212060044713,139.04729725257926,0.018435156305541406,0.0033427484999326855,1.4990578254855975,140.5055818249858,0.01912728910219279,0.003654662837077618,150,1.442356420073256,139.83893414627676,0.01877991378581204,0.000800862609835459,0.039557165496707965,0.2602687812979153,0.00014191243408111007,6.952304911123211e-05,1.2402162814289086,139.05276426560417,0.018438042787507214,0.0006004610977507602,1.499026875692262,140.50935674910352,0.019125234934151362,0.0009761054463205563,150,0.0,172.31123,0.0,0.0,0.0,1.761057,0.0,0.0,0,163.80011,0,0,0,175.14763,0,0
processed_data_batch_10.npz,150,1.43819568729488,139.59163037793294,0.018861798865139386,0.0034707115107264607,0.04138047707508471,0.3209175251257765,0.00017488550811522755,7.079196032553114e-05,1.264825761047033,138.83674822397103,0.018144043468123473,0.003328502325372612,1.4925484856325149,140.4621628590295,0.01926311503241218,0.0036551818794605334,150,1.4381958927491412,139.59154851795702,0.018861968045127627,0.0008111370536961311,0.04138341880613966,0.32073430539399234,0.00017483473871875477,7.281483282492533e-05,1.2648021717433846,138.8377787807346,0.01814750152544226,0.0006177551229099317,1.4925785494787676,140.46468342113548,0.019263185614497365,0.0010690537506557855,150,0.0,171.78235,0.0,0.0,0.0,1.8511075,0.0,0.0,0,164.56967,0,0,0,174.40648,0,0
