num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,26.046001,0.176581,25.918780,0.147933,,0,,0
20,26.101491,0.210080,25.970490,0.192206,,0,,0
30,26.078036,0.291834,25.955659,0.286770,,0,,0
40,26.071777,0.363885,25.949477,0.355197,,0,,0
50,26.091768,0.471501,25.966521,0.460918,,0,,0
60,26.103843,0.567819,25.978239,0.548766,,0,,0
70,26.126444,0.647089,26.002055,0.627864,,0,,0
80,26.142819,0.728064,26.021370,0.719442,,0,,0
90,26.159834,0.817185,26.042892,0.813746,,0,,0
100,26.186823,0.919397,26.068467,0.916438,,0,,0
110,26.220199,1.022485,26.100388,1.020724,,0,,0
120,26.255580,1.121147,26.133516,1.120160,,0,,0
130,26.286129,1.236576,26.164121,1.233242,,0,,0
140,26.331676,1.362956,26.208508,1.361567,,0,,0
150,26.385656,1.510995,26.264569,1.511806,,0,,0
