num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.926505,2.755340,139.107978,1.542326,139.031623,0.414316,138.533959,0.191805
20,139.546410,1.993187,139.045278,1.117708,139.126341,0.393228,138.788336,0.432673
30,139.420768,1.642857,139.031394,0.932740,139.095291,0.347321,138.807781,0.379130
40,139.360890,1.435780,139.016238,0.832741,139.135881,0.353041,138.880694,0.411835
50,139.483290,1.538063,139.068487,0.810677,139.152055,0.346357,138.896826,0.396531
60,139.429725,1.411190,139.059346,0.745610,139.169018,0.319958,138.926639,0.373849
70,139.391253,1.311344,139.044867,0.694054,139.159837,0.297551,138.926532,0.343232
80,139.372110,1.229100,139.046042,0.654486,139.173643,0.285120,138.952294,0.335653
90,139.361726,1.162015,139.055514,0.623313,139.202391,0.284606,138.990038,0.339947
100,139.350913,1.107912,139.057445,0.604393,139.212250,0.296297,139.017637,0.350841
110,139.345512,1.060398,139.054100,0.585840,139.222198,0.304925,139.019561,0.358098
120,139.315156,1.022086,139.030316,0.571627,139.192984,0.308348,138.984044,0.362673
130,139.290268,0.988049,139.011583,0.557989,139.175784,0.305286,138.967040,0.357652
140,139.265638,0.958044,138.987570,0.551305,139.162864,0.306267,138.948618,0.364080
150,139.254086,0.928759,138.979018,0.540468,139.159982,0.302562,138.947237,0.359426
