num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.819619,0.172614,139.585708,0.264560,139.767753,0.232421,139.493269,0.306410
20,139.793606,0.182673,139.581007,0.273050,139.750748,0.210716,139.539158,0.246901
30,139.788507,0.162109,139.540108,0.237563,139.765019,0.170127,139.499823,0.205005
40,139.797303,0.154541,139.564143,0.236711,139.775685,0.157549,139.533928,0.219552
50,139.820152,0.159139,139.570388,0.228926,139.800191,0.169388,139.551630,0.220180
60,139.834486,0.160537,139.591091,0.238296,139.819137,0.174854,139.565307,0.228219
70,139.843889,0.162783,139.601799,0.231621,139.830274,0.175823,139.577049,0.227142
80,139.854322,0.160264,139.611747,0.223546,139.838126,0.174040,139.589149,0.223758
90,139.866048,0.162491,139.621160,0.234737,139.851891,0.171204,139.600058,0.230882
100,139.861178,0.177092,139.616624,0.256456,139.838550,0.190702,139.583881,0.252450
110,139.866596,0.193459,139.621646,0.272424,139.830230,0.202077,139.571953,0.260081
120,139.864990,0.192595,139.628279,0.276481,139.830842,0.200767,139.583333,0.273702
130,139.857163,0.205658,139.620722,0.281201,139.824402,0.218644,139.577934,0.282214
140,139.848824,0.213123,139.608332,0.286511,139.812173,0.228029,139.566790,0.286675
150,139.836451,0.218102,139.598642,0.292617,139.813430,0.226220,139.570060,0.284005
