num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,141.320959,3.366587,140.920657,3.335506,139.741570,0.102364,139.489090,0.111713
20,140.796010,2.754306,140.318183,2.495784,139.635725,0.393092,139.432007,0.400033
30,140.447438,2.305945,140.078634,2.069884,139.689790,0.351990,139.517096,0.374659
40,140.270461,2.023217,139.942601,1.815401,139.732585,0.301327,139.562078,0.318831
50,140.160132,1.827085,139.852054,1.640598,139.724116,0.303089,139.547505,0.321446
60,140.073601,1.683342,139.788365,1.510819,139.702640,0.307627,139.529160,0.327006
70,139.998764,1.585811,139.747016,1.407946,139.665241,0.417903,139.534436,0.331176
80,139.961018,1.493046,139.715697,1.327725,139.677234,0.419091,139.533557,0.354654
90,139.938279,1.412990,139.691831,1.257328,139.695118,0.407640,139.542648,0.339855
100,139.910867,1.345162,139.665716,1.196926,139.690227,0.395728,139.524277,0.332425
110,139.887768,1.286303,139.645688,1.145608,139.679698,0.386175,139.504983,0.331123
120,139.855347,1.238799,139.613491,1.104688,139.680967,0.375491,139.499976,0.324256
130,139.834375,1.193808,139.593262,1.066026,139.677588,0.367443,139.492615,0.321387
140,139.807325,1.156251,139.569945,1.033128,139.655785,0.367093,139.471692,0.325060
150,139.790719,1.120487,139.554829,1.003017,139.642897,0.365656,139.456008,0.335762
