filename,signals_in_file,signals_fitted,signals_passed_qc,signals_skipped_qc,signals_failed_to_fit,B_mean_after_qc,B_mean_before_qc,B_std_after_qc,B_std_before_qc,I0_mean_after_qc,I0_mean_before_qc,I0_std_after_qc,I0_std_before_qc,residuals_std_mean_after_qc,residuals_std_mean_before_qc,residuals_std_std_after_qc,residuals_std_std_before_qc,tau_mean_after_qc,tau_mean_before_qc,tau_std_after_qc,tau_std_before_qc
processed_data_batch_29.npz,150,150,78,72,0,0.022942,0.022937,0.000098,0.000095,1.435832,1.430365,0.053235,0.068370,0.003293,0.003288,0.000058,0.000060,139.518370,139.542006,0.267143,0.283875
processed_data_batch_30.npz,150,150,83,67,0,0.022996,0.023019,0.000136,0.000210,1.442066,1.445087,0.055008,0.052075,0.003312,0.003371,0.000180,0.000535,139.447590,139.548066,0.339649,1.009270
processed_data_batch_31.npz,150,150,83,67,0,0.023028,0.023050,0.000099,0.000212,1.450762,1.449914,0.036886,0.035153,0.003302,0.003339,0.000061,0.000480,139.458481,139.347907,0.363101,1.111825
processed_data_batch_32.npz,150,150,73,77,0,0.023084,0.023087,0.000087,0.000091,1.446096,1.450159,0.043111,0.038776,0.003305,0.003298,0.000061,0.000061,139.496395,139.486497,0.331202,0.330547
processed_data_batch_33.npz,150,150,85,65,0,0.023071,0.023076,0.000106,0.000096,1.457749,1.450354,0.039005,0.047774,0.003292,0.003292,0.000064,0.000060,139.498957,139.483165,0.264900,0.279850
processed_data_batch_34.npz,150,150,92,58,0,0.023091,0.023065,0.000159,0.000219,1.452675,1.450504,0.039053,0.042769,0.003301,0.003334,0.000104,0.000447,139.465870,139.535093,0.324508,0.938306
processed_data_batch_35.npz,150,150,90,60,0,0.023072,0.023080,0.000106,0.000100,1.444304,1.444351,0.044247,0.046886,0.003304,0.003306,0.000058,0.000061,139.433005,139.411402,0.356520,0.344973
processed_data_batch_36.npz,150,150,78,72,0,0.023042,0.023039,0.000091,0.000085,1.454599,1.448512,0.040726,0.049684,0.003296,0.003293,0.000063,0.000063,139.405630,139.378943,0.336371,0.321867
processed_data_batch_37.npz,150,150,73,77,0,0.023053,0.023071,0.000225,0.000205,1.454016,1.450507,0.036657,0.039002,0.003344,0.003395,0.000202,0.000642,139.407951,139.378603,0.345374,1.041318
processed_data_batch_38.npz,150,150,75,75,0,0.023030,0.023036,0.000101,0.000105,1.452988,1.454396,0.035391,0.035598,0.003300,0.003340,0.000061,0.000506,139.367541,139.250810,0.364596,0.920570
processed_data_batch_39.npz,150,150,76,74,0,0.023085,0.023087,0.000086,0.000093,1.451436,1.457150,0.042215,0.037585,0.003294,0.003289,0.000068,0.000063,139.273820,139.270772,0.304353,0.310741
processed_data_batch_40.npz,150,150,69,81,0,0.023077,0.023101,0.000137,0.000297,1.449611,1.444360,0.047835,0.060326,0.003297,0.003405,0.000053,0.000795,139.188344,139.158003,0.383584,1.634433
processed_data_batch_41.npz,150,150,87,63,0,0.023092,0.023101,0.000111,0.000202,1.456641,1.452809,0.028854,0.032364,0.003314,0.003325,0.000064,0.000197,139.082904,139.142108,0.342176,0.371903
processed_data_batch_42.npz,150,150,85,65,0,0.023096,0.023098,0.000091,0.000091,1.434883,1.437394,0.076352,0.071576,0.003294,0.003294,0.000064,0.000059,139.025485,139.039632,0.324791,0.328613
processed_data_batch_43.npz,150,150,88,62,0,0.023095,0.023084,0.000177,0.000235,1.444357,1.446672,0.052921,0.047482,0.003317,0.003379,0.000136,0.000706,138.969615,139.060895,0.333055,1.323694
processed_data_batch_44.npz,150,150,84,66,0,0.023141,0.023134,0.000100,0.000111,1.457085,1.452660,0.029051,0.038150,0.003310,0.003311,0.000065,0.000089,138.637223,138.674086,0.334963,0.335373
processed_data_batch_45.npz,150,150,73,77,0,0.023113,0.023102,0.000107,0.000099,1.451083,1.448185,0.033122,0.034367,0.003305,0.003299,0.000064,0.000064,138.431556,138.454485,0.314446,0.310762
processed_data_batch_46.npz,150,150,76,74,0,0.023132,0.023160,0.000127,0.000252,1.432180,1.435122,0.063463,0.056085,0.003311,0.003366,0.000069,0.000549,137.856207,137.760181,0.309072,0.828497
processed_data_batch_47.npz,150,150,84,66,0,0.023194,0.023182,0.000102,0.000095,1.433765,1.431058,0.061361,0.056672,0.003295,0.003292,0.000073,0.000067,135.702372,135.797796,0.387439,0.397414
processed_data_batch_48.npz,150,150,74,76,0,0.023152,0.023141,0.000085,0.000086,1.372954,1.364223,0.045073,0.052941,0.003232,0.003231,0.000059,0.000062,121.885256,121.676795,2.000615,1.971050
processed_data_batch_49.npz,150,150,30,120,0,0.023100,0.023095,0.000063,0.000075,1.002734,0.995751,0.039677,0.048126,0.003021,0.003031,0.000052,0.000095,68.955446,68.866107,3.328970,3.772059
processed_data_batch_50.npz,150,150,0,150,0,,0.023010,,0.000054,,0.299197,,0.036655,,0.002897,,0.000059,,26.262782,,1.516223
processed_data_batch_51.npz,150,150,0,150,0,,0.023008,,0.000057,,0.047593,,0.005444,,0.002874,,0.000057,,13.796832,,0.472391
processed_data_batch_52.npz,150,150,0,150,0,,0.023040,,0.000058,,0.044307,,0.004735,,0.002889,,0.000058,,13.598745,,0.446440
processed_data_batch_53.npz,150,150,0,150,0,,0.023043,,0.000060,,0.263928,,0.036210,,0.002894,,0.000059,,24.842729,,1.454806
processed_data_batch_54.npz,150,150,18,132,0,0.023147,0.023125,0.000072,0.000091,0.963151,0.958735,0.061356,0.054139,0.003045,0.003045,0.000063,0.000189,68.135741,66.044405,1.999144,3.837541
processed_data_batch_55.npz,150,150,65,85,0,0.023237,0.023238,0.000100,0.000104,1.355294,1.359102,0.052042,0.050035,0.003229,0.003225,0.000061,0.000061,120.614542,120.578907,2.310653,2.431797
processed_data_batch_56.npz,150,150,72,78,0,0.023240,0.023230,0.000125,0.000118,1.426257,1.428924,0.050188,0.047653,0.003305,0.003325,0.000071,0.000249,135.808547,135.838870,0.393716,0.471914
processed_data_batch_57.npz,150,150,71,79,0,0.023250,0.023244,0.000096,0.000091,1.420238,1.418360,0.058853,0.064287,0.003297,0.003296,0.000065,0.000064,137.854830,137.858981,0.331258,0.316416
processed_data_batch_58.npz,150,150,82,68,0,0.023285,0.023279,0.000121,0.000116,1.435137,1.431432,0.043259,0.057457,0.003304,0.003297,0.000062,0.000065,138.411640,138.422386,0.340609,0.346945
processed_data_batch_59.npz,150,150,80,70,0,0.023206,0.023200,0.000087,0.000088,1.437630,1.437785,0.038381,0.046112,0.003306,0.003307,0.000059,0.000058,138.782222,138.784745,0.329536,0.304319
processed_data_batch_60.npz,150,150,86,64,0,0.023205,0.023227,0.000136,0.000246,1.439405,1.437387,0.049780,0.062089,0.003308,0.003371,0.000079,0.000537,138.941551,138.970379,0.366557,0.530118
processed_data_batch_61.npz,150,150,82,68,0,0.023207,0.023223,0.000090,0.000096,1.427473,1.435949,0.066643,0.055265,0.003301,0.003301,0.000056,0.000062,139.205263,139.174761,0.315160,0.335359
processed_data_batch_62.npz,150,150,68,82,0,0.023225,0.023241,0.000151,0.000254,1.421920,1.428042,0.066471,0.059847,0.003319,0.003377,0.000076,0.000530,139.221839,139.210933,0.326596,0.507526
processed_data_batch_63.npz,150,150,86,64,0,0.023261,0.023274,0.000091,0.000100,1.435667,1.427774,0.046656,0.072347,0.003309,0.003324,0.000059,0.000211,139.330636,139.261596,0.345709,0.598702
processed_data_batch_64.npz,150,150,88,62,0,0.023275,0.023282,0.000117,0.000287,1.424195,1.423148,0.061466,0.065170,0.003297,0.003398,0.000065,0.000897,139.293113,139.403252,0.329552,1.206580
processed_data_batch_65.npz,150,150,86,64,0,0.023268,0.023271,0.000104,0.000099,1.428405,1.430767,0.049448,0.046828,0.003312,0.003308,0.000063,0.000063,139.329996,139.354775,0.299636,0.316663
processed_data_batch_66.npz,150,150,82,68,0,0.023300,0.023281,0.000096,0.000263,1.430160,1.428825,0.045313,0.055172,0.003312,0.003362,0.000065,0.000483,139.384064,139.436043,0.308967,0.764540
processed_data_batch_67.npz,150,150,86,64,0,0.023280,0.023282,0.000100,0.000107,1.425741,1.431636,0.071710,0.061375,0.003296,0.003366,0.000065,0.000667,139.515941,139.389778,0.351523,1.022082
processed_data_batch_68.npz,150,150,92,58,0,0.023276,0.023241,0.000096,0.000494,1.426643,1.418732,0.064840,0.073296,0.003296,0.003388,0.000063,0.001124,139.434523,139.538155,0.314151,1.346863
processed_data_batch_69.npz,150,150,68,82,0,0.023254,0.023261,0.000103,0.000097,1.425976,1.422621,0.050764,0.065143,0.003308,0.003310,0.000069,0.000103,139.521593,139.500656,0.335765,0.354536
processed_data_batch_70.npz,150,150,86,64,0,0.023311,0.023312,0.000093,0.000091,1.418036,1.416771,0.058439,0.058616,0.003295,0.003295,0.000064,0.000063,139.562432,139.535324,0.306410,0.298195
processed_data_batch_71.npz,150,150,81,69,0,0.023244,0.023236,0.000136,0.000145,1.420802,1.423129,0.071748,0.061299,0.003321,0.003335,0.000076,0.000240,139.475390,139.523308,0.343231,0.621592
processed_data_batch_72.npz,150,150,76,74,0,0.023238,0.023241,0.000099,0.000100,1.433804,1.430022,0.044608,0.046093,0.003308,0.003303,0.000057,0.000058,139.563333,139.539312,0.353048,0.361392
processed_data_batch_73.npz,150,150,80,70,0,0.023266,0.023302,0.000100,0.000388,1.423629,1.428890,0.079053,0.065696,0.003319,0.003444,0.000078,0.001137,139.521162,139.363089,0.288862,1.711891
