filename,successful_fits,I0_count,I0_mean,I0_std,I0_min,I0_25%,I0_50%,I0_75%,I0_max,Tau_count,Tau_mean,Tau_std,Tau_min,Tau_25%,Tau_50%,Tau_75%,Tau_max,B_count,B_mean,B_std,B_min,B_25%,B_50%,B_75%,B_max,Residuals_std_count,Residuals_std_mean,Residuals_std_std,Residuals_std_min,Residuals_std_25%,Residuals_std_50%,Residuals_std_75%,Residuals_std_max
processed_data_batch_1.npz,150,150,0.34083552545445456,0.01717077264960977,0.23837492240098712,0.3392248712650945,0.34553076394650983,0.34884704899532515,0.3715061617665565,150,139.2355916808346,2.99124456755712,123.00359992934446,139.19202741136655,139.52252319080003,139.75049330068714,154.02309824637993,150,0.020726671219881768,0.00036105610553570323,0.019444473601357204,0.02052269538156864,0.020706728006521034,0.020901282327853057,0.02235442390509868,150,0.00310800820137146,0.0003098668466205692,0.002908092931083145,0.002977517977086713,0.003023449221341356,0.0030867676733209734,0.00504164788685563
processed_data_batch_2.npz,150,150,0.34549062661927726,0.009193322432799312,0.30461964443776235,0.3425953839416115,0.3483855260167087,0.3518249326814291,0.35625986792670256,150,139.79384844011287,0.28075661280896025,139.00206313401705,139.60862687310828,139.80066986408724,139.9888559939277,140.45356913521417,150,0.01960184830648079,0.0005058725040579939,0.018715062324953853,0.019249936431593548,0.01954615463501246,0.020075545595380988,0.02037730899008915,150,0.0030174628551942963,6.03675188009462e-05,0.002857189377887707,0.00296924515718412,0.0030086005433892326,0.003069095168109618,0.0031408960341651076
processed_data_batch_3.npz,150,150,0.3469205336355349,0.006695565753699599,0.3191504702301422,0.3438748321748749,0.3483005951754641,0.3515880415226931,0.3603491685620721,150,139.47646091192576,0.27380594428596483,138.93580719490964,139.28489197123662,139.45650172772696,139.67527430810645,140.11856025754673,150,0.01872948330253284,0.00010164838794372009,0.018471107567711087,0.018649859847377936,0.01873729151733027,0.01881212270400245,0.018991839911314087,150,0.0030108497736146757,5.8478034121117496e-05,0.0029178994071621437,0.002964426098687409,0.003001849951249338,0.003055191844557333,0.003129183682546353
processed_data_batch_4.npz,150,150,0.3450726250265759,0.008147850545956535,0.3049612044280871,0.3440473157155999,0.3474617168466688,0.3491293137558181,0.3577960874145005,150,139.58366036232192,0.3440796235624812,138.77348260545722,139.33782892495702,139.5666646913831,139.8132831192363,140.45341328293605,150,0.01859061359138905,8.632179826424419e-05,0.018376489326687895,0.018535587431127327,0.018585716808857476,0.018649970468693947,0.018792182968145447,150,0.003009835784176646,5.722890911611197e-05,0.0028835502943869644,0.0029622996134395243,0.003007324133961288,0.003056136663310627,0.0031165317542771525
processed_data_batch_5.npz,150,150,0.339975563840769,0.016095005006665393,0.27072325777333245,0.33467710315744836,0.3454779126760359,0.3512248809351879,0.35736600267633617,150,139.83645903526784,0.2918589728070591,139.14473403952192,139.64482864077854,139.84341380993706,140.03860067616063,140.61414139853716,150,0.01864346973840754,0.0001001516846421371,0.01832839597778215,0.018592004809540708,0.018637222547684355,0.01870277895457609,0.018886334352308076,150,0.003006354006783898,5.988442323161839e-05,0.002901438012621255,0.0029589870745062924,0.00300488468706669,0.0030544154983345386,0.003173071323514746
processed_data_batch_6.npz,150,150,0.34437698350045376,0.009349914485006784,0.29542152176866937,0.3420416365740111,0.346431992475139,0.3506188516745815,0.35701125839161446,150,139.6716057812539,0.3335980507856463,138.98680084917595,139.4426695582419,139.6369103790836,139.90981639087713,140.58657357065542,150,0.01878032468609745,9.033759314070315e-05,0.018567599702357378,0.018713864240389302,0.018770210742881446,0.01883938912042534,0.019000993812383755,150,0.0030178119929402908,5.658519475876622e-05,0.002892833292107987,0.002971347073626644,0.003011486550591685,0.003064288486853137,0.0031700109542794814
processed_data_batch_7.npz,150,150,0.34487502276883847,0.008368713778635184,0.3138008220212475,0.342559769634754,0.3467869739047529,0.35059156548895676,0.357264481078963,150,139.68178539736527,0.32676473930229727,138.83752418041084,139.4661816686214,139.7133012576239,139.87168464575302,140.36349686360543,150,0.018802438176005194,8.555085392162054e-05,0.018561235774166678,0.01874478188534035,0.01880122479345587,0.018866798678172654,0.019053065054776563,150,0.003016310475523439,5.9240592771034686e-05,0.0028920419503828875,0.0029647217952886436,0.0030042709404631057,0.0030686331452744486,0.003159311973649513
processed_data_batch_8.npz,150,150,0.3468008426199646,0.006675542799319793,0.3226795328134283,0.3449905590410913,0.34826934486637584,0.3507880843036027,0.35717602425496486,150,139.54896770305695,0.35245934019151726,138.694134098834,139.33519428325542,139.57058231350226,139.77358444565522,140.4951864911805,150,0.018831699262264127,9.317997880338242e-05,0.018566900370288724,0.01876442918862522,0.018836411259485042,0.01890872242107515,0.019025259066958525,150,0.00301329761365202,5.8337125509839684e-05,0.0029042716280273904,0.002961864380659091,0.003005986389450329,0.0030557965105320506,0.0031514781770297508
processed_data_batch_9.npz,150,150,0.3450495793198554,0.00956542932418764,0.29776694382729146,0.34080782599736,0.34748187237142236,0.35094862375127245,0.3578470060300584,150,139.78948643359303,0.27034115129783,139.03291835595175,139.6292621212604,139.7940497849159,139.96273940773227,140.51443622819832,150,0.01879081809860996,9.546473290061306e-05,0.018557501650417155,0.018727710754521645,0.018786570318473653,0.018854862758724878,0.019073255467315826,150,0.003020876302399123,6.240551535901743e-05,0.002894543507819574,0.0029718931216057886,0.003012458381885577,0.0030742191833956277,0.0031579814807124163
processed_data_batch_10.npz,150,150,0.34310095409687213,0.010073598287427953,0.30111380055723663,0.33946278348764225,0.3466702987022614,0.3497306178797548,0.355359711977538,150,139.6109449632164,0.2942364204241056,138.94575385239986,139.39438538698556,139.61078832788596,139.8191685777826,140.33214260977368,150,0.01885592387792729,9.326957743275498e-05,0.018609264437798246,0.018798573753819117,0.018854088877864737,0.018915794148621042,0.019050015663550735,150,0.0030076583353694547,5.55455118389418e-05,0.0028911670352736642,0.0029627467458262793,0.003006415591906355,0.0030485426298194136,0.0031340911074868756
