filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
resampled_data_batch_61.npz,3,142.724975,0.520955,142.512831,0.633554,142.676110,0.201939,142.480237,0.251057
resampled_data_batch_62.npz,3,142.745660,0.199311,142.540825,0.286041,142.722100,0.220244,142.524363,0.313090
resampled_data_batch_63.npz,3,142.652045,0.708707,142.461230,0.371561,142.727581,0.279825,142.493664,0.251938
resampled_data_batch_64.npz,3,142.742726,0.210458,142.542130,0.267521,142.735863,0.230573,142.534277,0.296669
resampled_data_batch_65.npz,3,142.782119,0.877579,142.541176,0.985596,142.693028,0.311081,142.453983,0.289493
resampled_data_batch_66.npz,3,142.702208,0.168689,142.513055,0.253406,142.696623,0.175435,142.510134,0.260342
resampled_data_batch_67.npz,3,142.735644,0.476597,142.544092,0.689498,142.712128,0.231889,142.509608,0.309176
resampled_data_batch_68.npz,3,142.722788,0.427126,142.515602,0.600390,142.761090,0.193088,142.567532,0.267428
resampled_data_batch_69.npz,3,142.709291,0.958377,142.481936,0.678452,142.709818,0.163963,142.500357,0.229899
resampled_data_batch_70.npz,3,142.697518,0.208832,142.456789,0.283657,142.699832,0.205261,142.461254,0.280298
resampled_data_batch_71.npz,3,142.749857,0.428488,142.538406,0.370911,142.731793,0.288623,142.532306,0.291959
resampled_data_batch_72.npz,3,142.753013,0.198894,142.560117,0.252646,142.754198,0.171933,142.556670,0.237223
resampled_data_batch_73.npz,3,142.663065,0.636795,142.453631,0.945557,142.740803,0.176533,142.529851,0.221285
resampled_data_batch_74.npz,3,142.717131,0.219639,142.528959,0.263727,142.697871,0.238713,142.510836,0.281636
resampled_data_batch_75.npz,3,142.690726,1.043322,142.510975,0.662496,142.762998,0.204797,142.554499,0.255051
resampled_data_batch_76.npz,3,142.734450,0.217242,142.529078,0.274316,142.741594,0.210728,142.530961,0.275368
resampled_data_batch_77.npz,3,142.756138,0.808627,142.553532,0.574264,142.743437,0.182902,142.544168,0.257470
resampled_data_batch_78.npz,3,142.735791,0.216487,142.549040,0.288565,142.715108,0.232529,142.501945,0.319029
resampled_data_batch_79.npz,3,142.837954,1.286164,142.692752,1.488716,142.778021,0.222897,142.593507,0.224438
resampled_data_batch_80.npz,3,142.748495,0.188835,142.536338,0.278474,142.760016,0.188514,142.537365,0.282722
resampled_data_batch_81.npz,3,142.753706,0.605097,142.532212,0.392502,142.751325,0.163440,142.554237,0.235455
resampled_data_batch_82.npz,3,142.764826,0.196520,142.571759,0.260085,142.733085,0.190964,142.538814,0.238625
resampled_data_batch_83.npz,3,142.798274,1.018822,142.631018,1.334208,142.723742,0.215029,142.538068,0.274824
resampled_data_batch_84.npz,3,142.747878,0.179112,142.532912,0.255732,142.744364,0.164188,142.531907,0.226029
resampled_data_batch_85.npz,3,142.745385,0.325294,142.555982,0.312112,142.773589,0.210547,142.576015,0.242106
resampled_data_batch_86.npz,3,142.874553,0.961429,142.759445,1.848511,142.804356,0.189807,142.619871,0.246277
resampled_data_batch_87.npz,3,142.732087,0.224770,142.525528,0.283785,142.735803,0.234681,142.533867,0.295533
resampled_data_batch_88.npz,3,142.778846,0.800464,142.565422,0.604228,142.769566,0.310056,142.543930,0.253399
resampled_data_batch_89.npz,3,142.736154,1.160849,142.593430,0.870157,142.793898,0.209485,142.611464,0.288746
resampled_data_batch_90.npz,3,142.812444,0.530126,142.629174,0.942978,142.796997,0.314371,142.544088,0.254111
resampled_data_batch_91.npz,3,142.730240,0.205261,142.555161,0.279048,142.719026,0.205349,142.541303,0.279595
resampled_data_batch_92.npz,3,142.638990,1.037889,142.474340,1.520928,142.532860,0.208048,142.328211,0.281759
resampled_data_batch_93.npz,3,141.841202,0.217203,141.660811,0.283909,141.842757,0.220219,141.685480,0.289680
resampled_data_batch_94.npz,3,140.855170,0.435570,140.676276,0.578248,140.829584,0.176854,140.642064,0.246882
resampled_data_batch_95.npz,3,140.897432,0.449817,140.696413,0.308437,140.885012,0.178396,140.688535,0.253486
resampled_data_batch_96.npz,3,141.945796,0.208689,141.747691,0.274567,141.931427,0.201379,141.721375,0.274803
