filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
resampled_data_batch_60.npz,2,139.261850,0.928518,138.987082,0.540222,139.157358,0.301324,138.955775,0.359762
resampled_data_batch_61.npz,2,139.358005,0.274274,139.184919,0.329054,139.364931,0.272391,139.225313,0.304586
resampled_data_batch_62.npz,2,139.442593,0.960236,139.226052,0.520421,139.444222,0.284682,139.228863,0.320990
resampled_data_batch_63.npz,2,139.460926,0.505003,139.273663,0.589942,139.523641,0.260628,139.350065,0.338894
resampled_data_batch_64.npz,2,139.600404,1.070283,139.415083,1.187321,139.502959,0.392796,139.303935,0.322522
resampled_data_batch_65.npz,2,139.571813,0.267324,139.368155,0.311626,139.561114,0.267815,139.353425,0.305403
resampled_data_batch_66.npz,2,139.627299,0.567892,139.447714,0.745801,139.627024,0.498943,139.409049,0.306992
resampled_data_batch_67.npz,2,139.592111,1.023659,139.401892,1.014207,139.702480,0.299748,139.511262,0.347958
resampled_data_batch_68.npz,2,139.676348,0.433415,139.547668,1.294342,139.644900,0.240342,139.447148,0.306600
resampled_data_batch_69.npz,2,139.683124,0.300146,139.511734,0.349521,139.696311,0.290622,139.532167,0.331556
resampled_data_batch_70.npz,2,139.738693,0.228718,139.547025,0.292921,139.750238,0.230515,139.576029,0.301472
resampled_data_batch_71.npz,2,139.717464,0.476702,139.534482,0.610215,139.669396,0.303338,139.492472,0.324442
resampled_data_batch_72.npz,2,139.743651,0.281665,139.551822,0.355656,139.750861,0.282120,139.575619,0.347824
resampled_data_batch_73.npz,2,139.649423,0.985825,139.378552,1.676331,139.740991,0.233762,139.534058,0.284908
resampled_data_batch_74.npz,2,139.760179,0.271409,139.565079,0.335165,139.754440,0.243539,139.570998,0.299145
resampled_data_batch_75.npz,2,139.692306,0.651999,139.526849,0.529781,139.704444,0.400731,139.547459,0.340487
resampled_data_batch_76.npz,2,139.737059,0.239266,139.541266,0.298893,139.716607,0.229847,139.522348,0.304135
resampled_data_batch_77.npz,2,139.666700,0.977725,139.501680,0.932281,139.815886,0.391458,139.631022,0.308786
resampled_data_batch_78.npz,2,139.775125,0.240798,139.580721,0.310991,139.797665,0.207109,139.600778,0.272104
resampled_data_batch_79.npz,2,139.815440,0.861159,139.628412,0.610661,139.786304,0.259155,139.580626,0.305154
resampled_data_batch_80.npz,2,139.841980,0.515360,139.622703,0.505643,139.797507,0.283180,139.567096,0.336678
resampled_data_batch_81.npz,2,139.864334,0.515317,139.637388,0.338773,139.837243,0.268038,139.649975,0.316867
resampled_data_batch_82.npz,2,139.810298,0.593164,139.648583,0.316446,139.753134,0.781193,139.646392,0.281153
resampled_data_batch_83.npz,2,139.892361,1.048883,139.710021,1.378376,139.826046,0.268716,139.640829,0.303458
resampled_data_batch_84.npz,2,139.717046,0.716025,139.496524,0.779796,139.765177,0.267346,139.562669,0.300119
resampled_data_batch_85.npz,2,139.788270,0.601274,139.635925,1.112688,139.768600,0.215474,139.549228,0.276349
resampled_data_batch_86.npz,2,139.694960,0.260108,139.499603,0.309316,139.696110,0.266544,139.495369,0.313505
resampled_data_batch_87.npz,2,139.695401,0.751979,139.549294,0.622156,139.703174,0.228819,139.502403,0.259124
resampled_data_batch_88.npz,2,139.814638,0.484078,139.672336,0.872927,139.778571,0.231138,139.591144,0.280008
resampled_data_batch_89.npz,2,139.881430,0.615807,139.694243,0.824216,139.835150,0.264037,139.611725,0.300955
resampled_data_batch_90.npz,2,139.891042,1.163429,139.792973,1.654683,139.829653,0.259875,139.635049,0.339440
resampled_data_batch_91.npz,2,139.771137,0.431645,139.615649,0.341120,139.798081,0.354868,139.652070,0.301358
resampled_data_batch_92.npz,2,139.833423,0.273135,139.643244,0.307471,139.823177,0.297126,139.634299,0.316725
resampled_data_batch_93.npz,2,139.847950,0.432940,139.643899,0.342477,139.851958,0.263963,139.660922,0.307967
resampled_data_batch_94.npz,2,139.811409,0.583780,139.644207,0.745417,139.844321,0.292090,139.667840,0.342552
resampled_data_batch_95.npz,2,139.824761,0.329950,139.624491,0.426576,139.847470,0.223153,139.634138,0.259502
resampled_data_batch_96.npz,2,139.887727,0.594895,139.647910,0.583240,139.802899,0.271608,139.583712,0.331045
resampled_data_batch_97.npz,2,139.803887,0.334984,139.628183,0.304164,139.768728,0.382591,139.605289,0.313247
resampled_data_batch_98.npz,2,139.895319,0.255267,139.710965,0.318196,139.898227,0.254308,139.719180,0.325900
resampled_data_batch_99.npz,2,139.785650,0.711122,139.560032,0.968840,139.847471,0.250268,139.666955,0.294019
resampled_data_batch_100.npz,2,139.794120,0.686428,139.588668,0.403477,139.770130,0.279471,139.598457,0.292095
resampled_data_batch_101.npz,2,139.836800,0.237899,139.655017,0.281110,139.826048,0.240657,139.652436,0.286450
resampled_data_batch_1.npz,3,139.364311,2.068477,139.191684,2.335125,139.580760,0.469060,139.373451,0.272559
resampled_data_batch_2.npz,3,139.983472,0.241555,139.744425,0.307918,140.013277,0.225795,139.777625,0.288353
resampled_data_batch_3.npz,3,139.674257,0.209726,139.407202,0.277823,139.682048,0.206146,139.421208,0.279075
resampled_data_batch_4.npz,3,139.757288,0.276550,139.461095,0.349557,139.777557,0.279459,139.490824,0.371928
resampled_data_batch_5.npz,3,140.052625,0.156173,139.812492,0.205516,140.055254,0.155269,139.813921,0.199525
resampled_data_batch_6.npz,3,139.892765,0.198700,139.646223,0.256825,139.905105,0.214654,139.646648,0.274693
resampled_data_batch_7.npz,3,139.885718,0.220721,139.632603,0.276746,139.880314,0.211977,139.623829,0.262152
resampled_data_batch_8.npz,3,139.764292,0.276022,139.517677,0.325629,139.778539,0.283385,139.517594,0.332234
resampled_data_batch_9.npz,3,140.083377,0.188925,139.857364,0.239983,140.084044,0.192603,139.858768,0.245403
resampled_data_batch_10.npz,3,139.852085,0.217862,139.614826,0.292231,139.830750,0.228121,139.589398,0.286213
resampled_data_batch_11.npz,3,139.799535,0.749954,139.502354,1.016881,139.900346,0.419068,139.599204,0.327674
resampled_data_batch_12.npz,3,139.410917,1.639987,139.300594,0.938744,139.559630,0.729398,139.432568,0.316725
resampled_data_batch_13.npz,3,139.139919,1.881155,138.807475,2.097889,139.442585,0.487636,139.116398,0.326629
resampled_data_batch_14.npz,3,138.467753,1.717396,138.282628,1.956360,138.423706,0.318171,138.132494,0.303706
resampled_data_batch_15.npz,3,131.912549,0.827331,131.657976,1.461839,131.981857,0.412960,131.760315,0.387254
resampled_data_batch_16.npz,3,112.820155,1.000349,112.600248,0.850198,112.871069,0.739278,112.676518,0.671644
resampled_data_batch_17.npz,3,86.739605,1.038590,86.448622,1.323255,86.667805,0.717768,86.489736,0.738661
resampled_data_batch_18.npz,3,72.078844,0.278386,71.885865,0.367285,72.098277,0.312560,71.930127,0.245990
resampled_data_batch_19.npz,3,75.735529,0.483745,75.579002,0.511477,75.855861,0.435534,75.666389,0.438287
resampled_data_batch_20.npz,3,96.669460,1.038755,96.476207,1.034078,96.567381,1.074842,96.416535,1.047612
resampled_data_batch_21.npz,3,122.822168,0.848350,122.639257,0.843662,122.789852,0.870559,122.607165,0.882085
resampled_data_batch_22.npz,3,136.111672,0.359761,135.897656,0.393756,136.107062,0.375111,135.886199,0.392191
resampled_data_batch_23.npz,3,139.208946,0.247711,139.003563,0.311345,139.188259,0.247347,138.977503,0.292258
resampled_data_batch_24.npz,3,139.504314,0.258654,139.297655,0.320726,139.501195,0.249631,139.295031,0.323172
resampled_data_batch_25.npz,3,139.558259,1.252960,139.389276,1.440584,139.590737,0.418019,139.336584,0.328086
resampled_data_batch_26.npz,3,139.733502,0.400635,139.510931,0.394829,139.727721,0.380308,139.504654,0.363411
resampled_data_batch_27.npz,3,139.617486,0.254965,139.397111,0.302310,139.624187,0.254931,139.395486,0.300777
resampled_data_batch_28.npz,3,139.751942,0.258960,139.552379,0.314926,139.743467,0.257287,139.560494,0.295332
resampled_data_batch_29.npz,3,139.760826,0.239070,139.562540,0.279354,139.743536,0.236229,139.531385,0.267433
resampled_data_batch_30.npz,3,139.806440,1.120114,139.571052,1.002356,139.687144,0.315149,139.475579,0.335350
resampled_data_batch_31.npz,3,139.602302,0.738553,139.370287,1.091375,139.663512,0.286460,139.481726,0.357463
resampled_data_batch_32.npz,3,139.701419,0.267242,139.506155,0.325529,139.695781,0.267953,139.495792,0.325301
resampled_data_batch_33.npz,3,139.713620,0.224253,139.504542,0.274925,139.726461,0.216607,139.522178,0.263149
resampled_data_batch_34.npz,3,139.733152,0.641234,139.553587,0.916864,139.701492,0.419175,139.485434,0.323819
resampled_data_batch_35.npz,3,139.637993,0.285104,139.432799,0.339047,139.635646,0.291404,139.450116,0.342807
resampled_data_batch_36.npz,3,139.604622,0.254999,139.399634,0.315995,139.630027,0.261446,139.432959,0.331612
