filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
processed_data_batch_49.npz,2000,68.866646,3.814168,68.874103,3.812478,67.528587,2.130127,67.720279,2.156099
processed_data_batch_54.npz,2000,66.013382,3.942493,65.997757,3.911850,65.791889,2.424738,66.323654,2.868196
processed_data_batch_55.npz,2000,120.638622,2.370290,120.628300,2.394352,121.117821,1.198158,121.092517,1.186756
processed_data_batch_56.npz,2000,136.091881,1.617992,136.188710,1.953945,136.007449,0.819625,135.997908,0.799659
processed_data_batch_57.npz,2000,137.921446,1.039083,137.958115,1.039305,137.811344,1.129990,137.787896,1.142991
processed_data_batch_58.npz,2000,138.619724,0.961159,138.611547,0.954256,138.559274,0.931162,138.667650,0.859788
processed_data_batch_59.npz,2000,138.908757,0.997198,138.886992,1.007984,138.678387,1.067430,138.680011,1.046844
processed_data_batch_60.npz,2000,139.002383,1.192031,139.008640,1.319255,138.935623,1.139114,138.912390,1.156987
processed_data_batch_61.npz,2000,139.375646,0.974942,139.361009,0.979190,139.133122,0.930589,139.155448,0.826278
processed_data_batch_62.npz,2000,139.343600,1.137934,139.375461,1.197592,139.033024,0.844978,139.096900,0.949392
processed_data_batch_63.npz,2000,139.611287,1.678409,139.644509,1.977648,139.570558,1.028181,139.612397,0.976944
processed_data_batch_64.npz,2000,139.552641,1.345791,139.453057,1.040466,139.422057,0.774149,139.392104,0.754248
processed_data_batch_65.npz,2000,139.599796,0.938643,139.613574,0.944640,139.693522,0.988764,139.702791,0.997561
processed_data_batch_66.npz,2000,139.798105,4.060674,139.780046,3.589945,139.874257,1.068412,139.954640,1.061173
processed_data_batch_67.npz,2000,139.992089,5.182797,140.015583,4.987021,139.734145,1.010334,139.686963,1.071457
processed_data_batch_68.npz,2000,140.676666,13.756318,140.645641,13.486495,139.607145,0.960804,139.520061,0.859783
processed_data_batch_69.npz,2000,139.733891,1.082611,139.752156,1.066379,139.262921,0.917913,139.193773,0.866724
processed_data_batch_70.npz,2000,139.650147,1.153416,139.630942,1.189735,140.127191,0.896571,140.076725,0.862466
processed_data_batch_71.npz,2000,139.493114,1.424036,139.519621,1.622519,139.330809,0.705207,139.364206,0.688816
processed_data_batch_72.npz,2000,139.642882,1.167982,139.655090,1.178061,139.529490,0.470814,139.287479,0.548157
