filename,signals_in_file,signals_fitted,signals_passed_qc,signals_skipped_qc,signals_failed_to_fit,B_mean_after_qc,B_mean_before_qc,B_std_after_qc,B_std_before_qc,I0_mean_after_qc,I0_mean_before_qc,I0_std_after_qc,I0_std_before_qc,residuals_std_mean_after_qc,residuals_std_mean_before_qc,residuals_std_std_after_qc,residuals_std_std_before_qc,tau_mean_after_qc,tau_mean_before_qc,tau_std_after_qc,tau_std_before_qc
processed_data_batch_35.npz,150,150,93,57,0,0.022703,0.022703,0.000081,0.000077,1.444089,1.443777,0.045200,0.046916,0.003286,0.003290,0.000058,0.000062,139.617210,139.610473,0.306036,0.291677
processed_data_batch_36.npz,150,150,81,69,0,0.022668,0.022664,0.000079,0.000073,1.454284,1.447915,0.040114,0.049693,0.003282,0.003277,0.000064,0.000063,139.616011,139.578778,0.268921,0.259975
processed_data_batch_37.npz,150,150,73,77,0,0.022677,0.022680,0.000076,0.000094,1.453458,1.449723,0.036639,0.039091,0.003346,0.003389,0.000309,0.000655,139.600749,139.607430,0.589024,1.035778
processed_data_batch_38.npz,150,150,79,71,0,0.022678,0.022682,0.000076,0.000088,1.452297,1.454067,0.034891,0.035581,0.003281,0.003321,0.000059,0.000489,139.496398,139.401137,0.311451,0.979880
processed_data_batch_39.npz,150,150,80,70,0,0.022714,0.022713,0.000074,0.000075,1.450408,1.456522,0.041370,0.037494,0.003276,0.003274,0.000068,0.000064,139.464806,139.472954,0.254788,0.263098
processed_data_batch_40.npz,150,150,70,80,0,0.022686,0.022691,0.000088,0.000121,1.448839,1.443241,0.047316,0.060853,0.003284,0.003402,0.000064,0.000900,139.417391,139.443376,0.366494,1.378671
processed_data_batch_41.npz,150,150,87,63,0,0.022710,0.022716,0.000075,0.000086,1.456430,1.452092,0.028983,0.032729,0.003299,0.003318,0.000074,0.000296,139.293551,139.362184,0.348371,0.534120
processed_data_batch_42.npz,150,150,86,64,0,0.022724,0.022724,0.000074,0.000077,1.433574,1.436824,0.076273,0.071604,0.003276,0.003278,0.000064,0.000059,139.217347,139.236703,0.279207,0.285183
processed_data_batch_43.npz,150,150,90,60,0,0.022727,0.022730,0.000076,0.000094,1.444410,1.446358,0.052313,0.047114,0.003310,0.003370,0.000195,0.000731,139.155318,139.204756,0.485669,1.026118
processed_data_batch_44.npz,150,150,87,63,0,0.022760,0.022758,0.000070,0.000071,1.455688,1.452101,0.031130,0.038249,0.003292,0.003296,0.000064,0.000102,138.840906,138.868831,0.295973,0.349827
processed_data_batch_45.npz,150,150,73,77,0,0.022733,0.022730,0.000095,0.000090,1.450263,1.447704,0.033367,0.034311,0.003288,0.003282,0.000064,0.000065,138.621894,138.636325,0.267973,0.263144
processed_data_batch_46.npz,150,150,77,73,0,0.022770,0.022772,0.000079,0.000085,1.432197,1.434382,0.063266,0.056105,0.003295,0.003364,0.000076,0.000660,138.015627,137.982604,0.270349,0.499679
processed_data_batch_47.npz,150,150,81,69,0,0.022810,0.022803,0.000077,0.000071,1.432227,1.430426,0.062126,0.056655,0.003281,0.003277,0.000079,0.000071,135.935916,136.000985,0.358787,0.362137
processed_data_batch_48.npz,150,150,75,75,0,0.022776,0.022772,0.000066,0.000063,1.370219,1.363794,0.048682,0.052997,0.003218,0.003217,0.000058,0.000061,122.039959,121.838253,2.029865,1.999067
processed_data_batch_49.npz,150,150,31,119,0,0.022724,0.022716,0.000061,0.000068,1.001261,0.995116,0.039469,0.048425,0.003017,0.003029,0.000053,0.000099,69.019093,69.010760,3.274348,3.752637
processed_data_batch_50.npz,150,150,0,150,0,,0.022631,,0.000057,,0.298950,,0.036628,,0.002898,,0.000059,,26.384072,,1.514303
processed_data_batch_51.npz,150,150,0,150,0,,0.022635,,0.000063,,0.047746,,0.005397,,0.002874,,0.000057,,13.895810,,0.486994
processed_data_batch_52.npz,150,150,0,150,0,,0.022665,,0.000063,,0.044452,,0.004709,,0.002889,,0.000058,,13.699719,,0.461782
processed_data_batch_53.npz,150,150,0,150,0,,0.022664,,0.000063,,0.263733,,0.036153,,0.002895,,0.000058,,24.963718,,1.455072
processed_data_batch_54.npz,150,150,18,132,0,0.022764,0.022740,0.000067,0.000067,0.962530,0.957987,0.061309,0.054599,0.003040,0.003045,0.000063,0.000227,68.283362,66.203298,2.025646,3.825961
processed_data_batch_55.npz,150,150,67,83,0,0.022857,0.022852,0.000073,0.000079,1.355356,1.358321,0.051774,0.049927,0.003217,0.003215,0.000063,0.000063,120.859493,120.789850,2.304747,2.478146
processed_data_batch_56.npz,150,150,75,75,0,0.022861,0.022863,0.000076,0.000075,1.426179,1.428439,0.049595,0.047421,0.003286,0.003308,0.000083,0.000247,135.997456,136.014383,0.376204,0.402766
processed_data_batch_57.npz,150,150,75,75,0,0.022878,0.022874,0.000075,0.000075,1.421731,1.417832,0.057822,0.064333,0.003284,0.003280,0.000065,0.000064,138.041147,138.049323,0.267963,0.260656
