num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.755628,0.086757,139.562906,0.215736,139.843783,0.061101,139.791453,0.067865
20,139.704767,0.134501,139.514075,0.213874,139.776182,0.163833,139.680882,0.221431
30,139.658872,0.189647,139.466686,0.240736,139.678962,0.239222,139.558449,0.287822
40,139.622454,0.208892,139.441149,0.238217,139.688954,0.233091,139.541697,0.289563
50,139.817904,1.521872,139.584622,1.232090,139.623044,0.244977,139.454974,0.298384
60,139.738040,1.404835,139.512552,1.142370,139.566515,0.282537,139.390943,0.319750
70,139.666444,1.314979,139.440662,1.075994,139.508699,0.315614,139.320189,0.357916
80,139.606802,1.240969,139.374259,1.024500,139.462790,0.323174,139.259392,0.382316
90,139.564221,1.176825,139.330112,0.975966,139.438060,0.318402,139.233167,0.375163
100,139.520878,1.124487,139.279319,0.939349,139.410297,0.318964,139.194561,0.382939
110,139.489592,1.077711,139.249927,0.901755,139.384602,0.319030,139.168454,0.376274
120,139.479778,1.035660,139.241445,0.869734,139.386167,0.308843,139.167294,0.363712
130,139.490059,1.005516,139.245466,0.842478,139.421968,0.366465,139.191487,0.369932
140,139.532228,1.050190,139.274159,0.867692,139.436902,0.366582,139.206866,0.376464
150,139.456110,1.355677,139.166661,1.611386,139.425951,0.364220,139.194146,0.376834
