num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.985089,0.095223,139.877830,0.181689,139.968775,0.043275,139.943099,0.131875
20,139.965093,0.119524,139.827499,0.204765,139.964292,0.112687,139.858006,0.211472
30,139.890643,0.151036,139.720434,0.242922,139.907039,0.130299,139.772182,0.232327
40,139.862181,0.169360,139.693276,0.245354,139.883286,0.150666,139.751572,0.238902
50,139.807726,0.199302,139.632896,0.266717,139.837148,0.175119,139.693408,0.257956
60,139.760934,0.222185,139.571315,0.296776,139.793178,0.205521,139.634610,0.288519
70,139.720982,0.234622,139.526616,0.306556,139.757015,0.224741,139.590255,0.309023
80,139.708242,0.231572,139.509507,0.304557,139.747771,0.219324,139.574644,0.304934
90,139.708975,0.224249,139.503103,0.292618,139.748879,0.213153,139.566518,0.293850
100,139.720527,0.219607,139.514462,0.291522,139.758777,0.209251,139.572767,0.294191
110,139.722520,0.214148,139.520092,0.287092,139.758086,0.204046,139.575771,0.287044
120,139.737830,0.217843,139.537709,0.285102,139.765116,0.204531,139.580969,0.279520
130,139.732003,0.225285,139.532714,0.290980,139.756640,0.220608,139.571755,0.292259
140,139.729943,0.229355,139.534527,0.294058,139.749334,0.230652,139.567756,0.300625
150,139.730981,0.228569,139.539170,0.292827,139.744364,0.231565,139.566182,0.300152
