num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,140.897278,3.921261,141.189445,5.673412,139.529047,0.095852,139.073165,0.179794
20,140.271662,2.847812,140.374311,4.095043,139.650743,0.160405,139.381704,0.269463
30,140.129940,2.338393,140.147510,3.363809,139.734684,0.231652,139.500039,0.311607
40,140.073653,2.033186,140.048489,2.923242,139.796216,0.267138,139.585350,0.351157
50,140.016017,1.972547,140.113518,2.798235,139.818952,0.255039,139.617791,0.327624
60,140.010737,1.801747,140.057569,2.558686,139.832181,0.243751,139.633515,0.314561
70,139.997383,1.669616,140.003352,2.373614,139.830580,0.230596,139.627465,0.298101
80,139.977631,1.564712,139.958507,2.226226,139.835370,0.225852,139.636508,0.296882
90,139.967869,1.477920,139.931715,2.102706,139.843456,0.235519,139.638514,0.299143
100,139.951537,1.405286,139.902374,1.998824,139.845872,0.239766,139.650073,0.302730
110,139.957145,1.341202,139.897899,1.907515,139.858451,0.231272,139.664996,0.298381
120,139.949955,1.285874,139.876955,1.829323,139.857207,0.233624,139.666976,0.299284
130,139.926068,1.240168,139.841827,1.765327,139.841156,0.247204,139.644945,0.324278
140,139.897497,1.200202,139.804246,1.707246,139.827350,0.254226,139.629298,0.329863
150,139.883165,1.163214,139.784865,1.654481,139.816350,0.257840,139.615470,0.333654
