num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.538200,0.422067,139.279061,0.238939,139.550522,0.443188,139.237774,0.215382
20,139.639658,0.671372,139.417901,0.272795,139.532634,0.737268,139.348634,0.265721
30,139.657626,0.574274,139.412652,0.262729,139.635396,0.635835,139.359283,0.249358
40,139.587498,0.602459,139.398221,0.280435,139.538687,0.681751,139.359683,0.269274
50,139.552208,0.799072,139.403667,0.293966,139.572083,0.651776,139.377374,0.258863
60,139.432517,1.216317,139.350707,0.507597,139.546053,0.626161,139.353859,0.261598
70,139.520660,1.266069,139.367850,0.536568,139.581905,0.612175,139.374277,0.282002
80,139.348987,1.425392,139.268783,0.674603,139.569525,0.577708,139.360566,0.274005
90,139.359324,1.718525,139.252898,0.986288,139.545468,0.558774,139.333498,0.282420
100,139.435608,1.935575,139.371719,1.685498,139.539573,0.532778,139.328443,0.277724
110,139.294107,2.218400,139.213291,2.014099,139.535247,0.522986,139.322897,0.274535
120,139.265756,2.192340,139.073235,2.420676,139.542095,0.514259,139.337840,0.279519
130,139.270357,2.185579,139.099495,2.451467,139.543630,0.505256,139.338713,0.274893
140,139.323146,2.138042,139.157364,2.412897,139.544092,0.493508,139.331871,0.272432
150,139.348533,2.068328,139.175758,2.332614,139.562133,0.473104,139.343949,0.263857
