filename,Raw_successful_fits,Raw_I0_mean,Raw_Tau_mean,Raw_B_mean,Raw_Residuals_Std_mean,Raw_I0_std,Raw_Tau_std,Raw_B_std,Raw_Residuals_Std_std,Raw_I0_min,Raw_Tau_min,Raw_B_min,Raw_Residuals_Std_min,Raw_I0_max,Raw_Tau_max,Raw_B_max,Raw_Residuals_Std_max,Savitzky-Golay_successful_fits,Savitzky-Golay_I0_mean,Savitzky-Golay_Tau_mean,Savitzky-Golay_B_mean,Savitzky-Golay_Residuals_Std_mean,Savitzky-Golay_I0_std,Savitzky-Golay_Tau_std,Savitzky-Golay_B_std,Savitzky-Golay_Residuals_Std_std,Savitzky-Golay_I0_min,Savitzky-Golay_Tau_min,Savitzky-Golay_B_min,Savitzky-Golay_Residuals_Std_min,Savitzky-Golay_I0_max,Savitzky-Golay_Tau_max,Savitzky-Golay_B_max,Savitzky-Golay_Residuals_Std_max,SimpleRNN_successful_fits,SimpleRNN_I0_mean,SimpleRNN_Tau_mean,SimpleRNN_B_mean,SimpleRNN_Residuals_Std_mean,SimpleRNN_I0_std,SimpleRNN_Tau_std,SimpleRNN_B_std,SimpleRNN_Residuals_Std_std,SimpleRNN_I0_min,SimpleRNN_Tau_min,SimpleRNN_B_min,SimpleRNN_Residuals_Std_min,SimpleRNN_I0_max,SimpleRNN_Tau_max,SimpleRNN_B_max,SimpleRNN_Residuals_Std_max,improvedrnn_successful_fits,improvedrnn_I0_mean,improvedrnn_Tau_mean,improvedrnn_B_mean,improvedrnn_Residuals_Std_mean,improvedrnn_I0_std,improvedrnn_Tau_std,improvedrnn_B_std,improvedrnn_Residuals_Std_std,improvedrnn_I0_min,improvedrnn_Tau_min,improvedrnn_B_min,improvedrnn_Residuals_Std_min,improvedrnn_I0_max,improvedrnn_Tau_max,improvedrnn_B_max,improvedrnn_Residuals_Std_max,CONV_successful_fits,CONV_I0_mean,CONV_Tau_mean,CONV_B_mean,CONV_Residuals_Std_mean,CONV_I0_std,CONV_Tau_std,CONV_B_std,CONV_Residuals_Std_std,CONV_I0_min,CONV_Tau_min,CONV_B_min,CONV_Residuals_Std_min,CONV_I0_max,CONV_Tau_max,CONV_B_max,CONV_Residuals_Std_max
processed_data_batch_1.npz,150,0.3408355254544784,139.23559168064128,0.02072667121992667,0.00310800820137146,0.017170772649093557,2.9912445670000185,0.0003610561054914998,0.00030986684662056906,0.23837492240932973,123.00359993160039,0.019444473601650077,0.002908092931083145,0.37150616176816115,154.02309824494452,0.02235442390467184,0.00504164788685563,150,0.34083655245906214,139.2349857011829,0.02072677967305618,0.0008310934794250899,0.017170257231797974,2.992173447897512,0.0003611651827172662,0.000589445689990922,0.23834740593997122,123.01736873797587,0.01944154258723102,0.0005270641260456571,0.3714909434952796,154.0281669439462,0.022351760131506335,0.0041007999852522466,150,0.32824101614763795,146.0876787121281,0.019608826845370898,0.003659578966469125,0.016651583775709185,3.020366460453388,0.0003651820338879986,0.0003631217701987826,0.22846456406124246,129.6826994601528,0.018233780453534593,0.0022979528044238333,0.3578699918397931,161.14534647876994,0.021313033854884363,0.0065824207254843075,150,0.33145354506285185,144.29401493052166,0.019928065943712252,0.003309592243893646,0.016675021091992242,3.0137660013573355,0.00036624315355384096,0.00039238581186842837,0.2315780476176364,127.87608213462887,0.018553444448827783,0.0017371265305629157,0.3614491858756913,159.3769843921764,0.02163147134798459,0.006137773728579397,150,0.33702371877079623,141.5003415901426,0.020339189296126606,0.0027389151879552943,0.017593995867274028,3.0222729533345944,0.0003581237318529997,0.0003859801690615448,0.2321063500259856,125.51522886930701,0.019067384002754317,0.0017621139552848237,0.3686231839090644,156.19986181128692,0.021942524050435817,0.005751497529633217
processed_data_batch_2.npz,150,0.3454906266196501,139.79384843960264,0.019601848306608997,0.0030174628551942963,0.009193322433241134,0.2807566124164445,0.0005058725040398696,6.036751880094617e-05,0.3046196444334573,139.002063130783,0.018715062324385853,0.002857189377887707,0.356259867927752,140.4535691335062,0.020377308989778117,0.0031408960341651076,150,0.345492591015725,139.79272026300814,0.019602071352719658,0.0006097928851266806,0.009192723697623504,0.2811845379593417,0.000505871147979395,4.087282780242967e-05,0.30458854494083837,139.01113087220347,0.01871624423922097,0.0005056620431107815,0.35625802860227584,140.45400094196137,0.020377790501259107,0.0007256057467595201,150,0.33281948223184815,146.59232579262243,0.018493396799930135,0.00360954399404835,0.008870284137988425,0.2844055916214615,0.0004996569613533618,6.655504236399015e-05,0.2933773673339052,145.87287186280386,0.017591693926676047,0.0034280396569584077,0.3432322708419857,147.30767736128323,0.019288490764410648,0.003791585716169413,150,0.33602546937989936,144.82586173948656,0.018812496361527445,0.0032655115487745952,0.008919726617851688,0.28282439184550234,0.0005003988249641282,8.821976149436068e-05,0.29649686113514834,143.9949518349308,0.01791208805203983,0.002983763787403186,0.3465480771219405,145.54040904790256,0.01960739025558629,0.003465769902135032,150,0.34179843149196076,141.92688602217643,0.019236804213786273,0.0026318274106813984,0.009432411117773862,0.3359467469575173,0.0004973618715162045,0.00010892737996791013,0.30001948774845266,141.11703837220318,0.01831267073433165,0.0024003491036569007,0.35281928080925457,143.13859170334095,0.020022683704307723,0.002962354729491644
processed_data_batch_3.npz,150,0.3469205336360027,139.47646091132987,0.01872948330267584,0.0030108497736146766,0.00669556575405752,0.27380594430576044,0.00010164838806209834,5.847803412111747e-05,0.319150470228431,138.93580720079447,0.01847110756852152,0.002917899407162144,0.36034916856398697,140.11856025749924,0.018991839912978786,0.0031291836825463526,150,0.34691740377039054,139.4780421896256,0.01872921406033996,0.000605250058264194,0.00669473315912347,0.2744100861503213,0.00010185376900286393,3.859899327156402e-05,0.31915482490294894,138.9221319711802,0.018469846660628262,0.0005159465328469511,0.3603547825432742,140.12010367375012,0.01899265410157631,0.0007111232646822789,150,0.33418563738516277,146.23353986012484,0.01763823947812055,0.0036192827680431943,0.006443217852765324,0.28247487241462993,9.960618530660712e-05,6.404398824927549e-05,0.30748593227425447,145.6790538927824,0.017388145577196285,0.003448006909935897,0.3471062549279113,146.9675991098572,0.017903466439420833,0.0037657094071501776,150,0.33739385747197853,144.47701909321802,0.017953881035840915,0.003280261055718891,0.006495303058018321,0.2776947382516044,0.00010003356962932985,7.323684118217047e-05,0.3105855414749318,143.8910347309902,0.017703576507893476,0.003086083960527263,0.35043635771564224,145.12325199591854,0.0182183434962878,0.003459077925769998,150,0.3432327221269126,141.56293246001263,0.01837997171476222,0.002639939144569739,0.006875459838574151,0.3418623892518524,0.00010268688888253305,9.791643143596297e-05,0.31477476788840725,140.91040298597645,0.018130009071676507,0.0024150065446569913,0.35698217561567713,142.7522379058277,0.018640429521240856,0.002953246503596496
processed_data_batch_4.npz,150,0.3450726250264905,139.58366036257556,0.018590613591327097,0.0030098357841766457,0.008147850546112065,0.34407962341928394,8.6321798296817e-05,5.7228909116111996e-05,0.3049612044233842,138.77348261015902,0.018376489325310837,0.0028835502943869644,0.3577960874160471,140.45341328121606,0.018792182969899377,0.003116531754277153,150,0.34507359142798444,139.58322478552336,0.01859062946670558,0.0006000480950124089,0.00814663032132596,0.34515206220990674,8.634254852548809e-05,3.796044836562762e-05,0.30495412569982017,138.7810198564679,0.018375967962436155,0.0005150689852789618,0.3577989073698984,140.45797198830198,0.018792826747586016,0.0007516827469990211,150,0.3324073874534645,146.35280084603966,0.017503022654027825,0.003597277024672565,0.007858778788281435,0.34637553474633404,8.70527072698742e-05,6.865210846042014e-05,0.29369768135185204,145.5138983949147,0.017283168193370453,0.00339809853313997,0.3447197040499984,147.17901243115878,0.017752377134139987,0.0037807410669619874,150,0.33559643786079196,144.59181431089505,0.017817850649703412,0.00324859228992878,0.007897767486619552,0.34637147485038117,8.75891482938047e-05,8.704096092822872e-05,0.2968532283695147,143.81177500587722,0.017595477305083616,0.0029756894130668907,0.34803561806425404,145.4217770216002,0.018074914842527424,0.003419945337861818,150,0.3413343435427284,141.70695143577987,0.018239959404100434,0.002631532694261033,0.008358395080709444,0.39060278209406196,8.832165753820181e-05,9.396302775443758e-05,0.30028806151304255,140.83020697538572,0.01802207762612816,0.002436049941520752,0.3544985978568137,142.58025071984605,0.018441271240817715,0.0030081576580151814
processed_data_batch_5.npz,150,0.3399755638400917,139.8364590357365,0.018643469738295705,0.003006354006783898,0.016095005007274298,0.29185897195873844,0.00010015168459532862,5.988442323161842e-05,0.2707232577679767,139.14473403860939,0.018328395979848377,0.002901438012621255,0.3573660026830546,140.61414140033182,0.018886334351965763,0.003173071323514746,150,0.3399748976502041,139.83706934795092,0.01864324444658809,0.0006040902229518247,0.01609509169942755,0.29152755684393195,0.00010017886611475601,4.088872368365419e-05,0.2707115019035926,139.15237184627682,0.018327271988029498,0.0004988526273185462,0.35735227950839127,140.620478958729,0.01888444072443286,0.0007180968146525415,150,0.3275147768657158,146.62804107953187,0.017564175569641596,0.0036048817818187745,0.015568065700549623,0.3039189413269203,0.00010593298867845368,7.061353939287589e-05,0.2602857363461994,145.92498957327368,0.01722287446387477,0.003422277452358937,0.3443621431568924,147.3734979874846,0.017832412905775703,0.0037647632772626004,150,0.33069802619623057,144.83112812919327,0.01788075378559684,0.003229058513489963,0.015591616933439037,0.2963526214462656,0.00010654893051858819,0.0001336301048695463,0.2636952445294872,144.1201630471998,0.01754236235252606,0.002737487315010906,0.3476959608084284,145.62472275182063,0.01814509789813462,0.003446265396645616,150,0.33612462138759613,142.07872039231364,0.018279811772739234,0.0026871205585780405,0.016506816711137653,0.44466428123925267,0.00010334882090099345,0.00012961075771168344,0.26513819943462974,141.30653388532124,0.017998435341995894,0.0023692536123899512,0.3540301586829438,143.88913375298213,0.01851219743481663,0.0030846720483251344
processed_data_batch_6.npz,150,0.3443769835003739,139.67160578138945,0.01878032468605717,0.0030178119929402908,0.009349914484631154,0.3335980507804662,9.033759314891979e-05,5.658519475876621e-05,0.2954215217749143,138.9868008532586,0.018567599702207123,0.0028928332921079876,0.3570112583910953,140.58657357185803,0.019000993812609022,0.0031700109542794814,150,0.34437591947983914,139.67211216605946,0.018780218747284538,0.0006021137439915733,0.009347626846055957,0.33346117604402276,9.02992423659041e-05,4.075476415737694e-05,0.2954370701076981,138.99821003408417,0.018568308807222104,0.0005155995382313337,0.3569935483736413,140.56828990947974,0.019003173298529616,0.0007302420228676981,150,0.3317415390986315,146.4507115269869,0.017689665330184408,0.0035920317641435404,0.00901798647314011,0.34024576283473923,9.073515252326337e-05,6.853881109043248e-05,0.2844263479102067,145.73508023859594,0.01746855256880744,0.0033998871619918955,0.3439081889351741,147.42343472334466,0.01797949007153593,0.003796633035965658,150,0.3349274015058601,144.68587300425682,0.018005622854205296,0.0032419695579066804,0.009058570645901088,0.33279897529215885,9.138226052229925e-05,8.971399712397178e-05,0.2876357408207056,144.01222565765303,0.017788950153448467,0.002872125692544723,0.3472107873773105,145.58305424359256,0.018315987205227754,0.0034293101980559138,150,0.3406228497986006,141.81819024875955,0.01842412020354848,0.002636531738529187,0.009588200419309065,0.399816118968176,9.431949264503959e-05,0.0001112641893168299,0.29049528068721664,140.989975421547,0.018208338114004505,0.0024162541281982997,0.35363561316603304,143.28976201839146,0.018655494517364056,0.0029530995340021457
processed_data_batch_7.npz,150,0.3448750227687746,139.68178539757625,0.01880243817594287,0.003016310475523439,0.008368713778740449,0.32676473911017273,8.555085383473372e-05,5.924059277103473e-05,0.3138008220222169,138.83752418192452,0.018561235775037554,0.002892041950382888,0.35726448108042524,140.3634968638911,0.019053065054418332,0.003159311973649513,150,0.34487427710402396,139.68240653908245,0.018802212497317384,0.0006085100233559126,0.008369805221500888,0.32671363398490955,8.550150917425089e-05,3.6378656124778196e-05,0.3138188963085589,138.83036915320972,0.01855822811007053,0.0005036694175155236,0.3572987682384136,140.3559705108658,0.019052134185327793,0.0007037929652786375,150,0.3322259577245943,146.4568651918114,0.01771087195273236,0.0036035106756182734,0.008055771907199983,0.32362374868234706,8.446630164639844e-05,6.485216053833863e-05,0.30221161855008166,145.61503620879478,0.017475395905434423,0.00345246313474742,0.3441445787492547,147.21571716097554,0.017980046276025986,0.0037784647392699456,150,0.3354155353663397,144.69387407799357,0.0180270536524101,0.003253791690961228,0.008112406165906999,0.32849469317756236,8.5340950830607e-05,7.817021815069249e-05,0.30534376736772445,143.85804673298068,0.01778751896743842,0.003032783399623518,0.34747137475498546,145.40031328984364,0.018304030359528035,0.003438787135820758,150,0.3411311817350424,141.81811274521993,0.018447450521413614,0.002643217836703456,0.00857735355373815,0.363471698277773,8.779799233382178e-05,0.00010236745130407232,0.3092960793108386,140.68348683899072,0.018203108547054373,0.0024391008867303138,0.35381630945040743,142.90463182905916,0.01867991909195408,0.002898562284335324
processed_data_batch_8.npz,150,0.34680084261966043,139.54896770278552,0.01883169926233139,0.00301329761365202,0.006675542799525516,0.3524593394740059,9.317997853819582e-05,5.833712550983968e-05,0.32267953280866046,138.69413409854985,0.018566900369970708,0.0029042716280273904,0.3571760242526723,140.4951864923225,0.01902525906622523,0.0031514781770297508,150,0.3468004729609492,139.54940095032487,0.018831512097332855,0.0006039350018270128,0.006676137674252373,0.3529619114393544,9.329735648192402e-05,4.077434729000209e-05,0.3226676035668725,138.68996981825882,0.018565552335863798,0.0004933530979501473,0.35717222162918105,140.50086660538247,0.019026055949098328,0.0007085619358387503,150,0.33406691882743134,146.3188973132486,0.017736337969457405,0.0036082617682000146,0.006432913455282108,0.355746763197172,9.356647712856674e-05,5.56664153078814e-05,0.3108324367107822,145.42560102657336,0.01746590194543757,0.003461962177191171,0.34408712455055435,147.24126234051832,0.017959842076994036,0.0037587556306801105,150,0.3372729581577871,144.56002034136182,0.018053018012526185,0.003266365934265238,0.006483753845937288,0.35531909686627144,9.40316700226499e-05,6.792416579296373e-05,0.3139183903070925,143.7091994132988,0.017781768069026094,0.0030231239839074425,0.34739810101919893,145.50263467096815,0.018275212654155215,0.003424804235184684,150,0.3431023017997857,141.64743033687856,0.018479622434751618,0.0026282059407548904,0.0068581985067362895,0.3794970959915557,9.402169563668969e-05,8.72659079831063e-05,0.3183649788050767,140.6263417800189,0.01823349615233069,0.002417784644475565,0.3538199692552511,142.60015713396118,0.018684683858094128,0.0029133079813694206
processed_data_batch_9.npz,150,0.3450495793200409,139.78948643338606,0.018790818098654186,0.003020876302399123,0.009565429324157645,0.27034115151238164,9.546473303200756e-05,6.240551535901746e-05,0.29776694382734376,139.03291835571378,0.018557501651900697,0.002894543507819574,0.3578470060307289,140.5144362253692,0.019073255468106756,0.0031579814807124167,150,0.34504959753703884,139.7895267438438,0.01879075406221024,0.0006013096632141551,0.009563098118098386,0.27081785933025837,9.540409319430581e-05,4.01405457937485e-05,0.29775683313402007,139.012962625474,0.018558743998498394,0.0004799941507195593,0.35786256454075743,140.52371549467176,0.019078365598175863,0.0007047834453790628,150,0.3324031092556035,146.5673634046246,0.017698449614177433,0.0035980001395794713,0.009230234705689984,0.27222834235435034,9.329855894665028e-05,7.023347561092654e-05,0.286674773665926,145.80991882369665,0.017448979249864296,0.003434090908066027,0.34482714538724635,147.27439345472933,0.017943607249764675,0.003774529406390382,150,0.3355948457778618,144.80234984252252,0.01801492227392992,0.003250106238379708,0.009278782924667543,0.26847845106140084,9.342140262541636e-05,9.461279713015145e-05,0.28986245766010627,144.0225588902301,0.01776745076035001,0.0028538092163179676,0.34813306478772515,145.48124984390083,0.01826461123341207,0.003458146369128916,150,0.3413197268526939,141.92378019476234,0.018434949761089142,0.0026332175631074138,0.009820479374392278,0.34501083943222904,0.00010260438243819611,0.00011310603003247368,0.29287127500935123,141.08098770163383,0.018176543956994234,0.0023477462792487257,0.3545110860276776,143.36072723429044,0.01872646183634669,0.002951128364957246
processed_data_batch_10.npz,150,0.3431009540966143,139.61094496380812,0.018855923877783547,0.0030076583353694547,0.010073598287028761,0.29423642003203504,9.326957758919181e-05,5.55455118389418e-05,0.3011138005617366,138.94575385042936,0.018609264437835112,0.002891167035273664,0.3553597119796667,140.3321426117307,0.0190500156631734,0.003134091107486875,150,0.34310316731278334,139.60973263750887,0.018856140430829726,0.0006001302127168665,0.010072166519120712,0.29597632853084166,9.354200875821588e-05,3.5483626286177716e-05,0.3011102666180228,138.94917331924782,0.01860870257144731,0.0005048830864970062,0.35537601611059133,140.3246911478258,0.01904920910966596,0.0006938817388756229,150,0.33050203741680784,146.39428369082478,0.01776772641114211,0.0035983396634537814,0.009708256027532072,0.29595430343991325,9.452578412168254e-05,5.053922327540372e-05,0.2899919714707393,145.77938368158598,0.017516619696579968,0.003427696864292445,0.3422046106500195,147.1177629371186,0.0179584093797944,0.003730310510613524,150,0.3336891638623664,144.62046293553237,0.01808431774570629,0.0032397120107787855,0.009757979782224821,0.29672400191950865,9.485949230508721e-05,7.801281078361379e-05,0.293093422371744,143.92612454984604,0.017829211203671022,0.0029415726541352663,0.3455501198525201,145.35106476070507,0.01827723968343024,0.00339757666115797,150,0.3393078900204661,141.7856280007688,0.0184974848726365,0.00266191926740319,0.010330253623225568,0.36692896850926143,9.406922237269094e-05,0.00010824410800467052,0.29636702914958135,141.07105542345644,0.018241493191682806,0.002455814943900894,0.35176134830604167,142.80315993708155,0.018712105267482085,0.0029915926877373974
