filename,Raw_successful_fits,Raw_I0_mean,Raw_Tau_mean,Raw_B_mean,Raw_Residuals_Std_mean,Raw_I0_std,Raw_Tau_std,Raw_B_std,Raw_Residuals_Std_std,Raw_I0_min,Raw_Tau_min,Raw_B_min,Raw_Residuals_Std_min,Raw_I0_max,Raw_Tau_max,Raw_B_max,Raw_Residuals_Std_max,Savitzky-Golay_successful_fits,Savitzky-Golay_I0_mean,Savitzky-Golay_Tau_mean,Savitzky-Golay_B_mean,Savitzky-Golay_Residuals_Std_mean,Savitzky-Golay_I0_std,Savitzky-Golay_Tau_std,Savitzky-Golay_B_std,Savitzky-Golay_Residuals_Std_std,Savitzky-Golay_I0_min,Savitzky-Golay_Tau_min,Savitzky-Golay_B_min,Savitzky-Golay_Residuals_Std_min,Savitzky-Golay_I0_max,Savitzky-Golay_Tau_max,Savitzky-Golay_B_max,Savitzky-Golay_Residuals_Std_max,TauPredictor_successful_fits,TauPredictor_I0_mean,TauPredictor_Tau_mean,TauPredictor_B_mean,TauPredictor_Residuals_Std_mean,TauPredictor_I0_std,TauPredictor_Tau_std,TauPredictor_B_std,TauPredictor_Residuals_Std_std,TauPredictor_I0_min,TauPredictor_Tau_min,TauPredictor_B_min,TauPredictor_Residuals_Std_min,TauPredictor_I0_max,TauPredictor_Tau_max,TauPredictor_B_max,TauPredictor_Residuals_Std_max
processed_data_batch_1.npz,150,0.3408355254544784,139.23559168064128,0.02072667121992667,0.00310800820137146,0.017170772649093557,2.9912445670000185,0.0003610561054914998,0.00030986684662056906,0.23837492240932973,123.00359993160039,0.019444473601650077,0.002908092931083145,0.37150616176816115,154.02309824494452,0.02235442390467184,0.00504164788685563,150,0.34083655245906214,139.2349857011829,0.02072677967305618,0.0008310934794250899,0.017170257231797974,2.992173447897512,0.0003611651827172662,0.000589445689990922,0.23834740593997122,123.01736873797587,0.01944154258723102,0.0005270641260456571,0.3714909434952796,154.0281669439462,0.022351760131506335,0.0041007999852522466,150,0.0,139.67564,0.0,0.0,0.0,3.1502705,0.0,0.0,0,126.52531,0,0,0,158.41205,0,0
processed_data_batch_2.npz,150,0.3454906266196501,139.79384843960264,0.019601848306608997,0.0030174628551942963,0.009193322433241134,0.2807566124164445,0.0005058725040398696,6.036751880094617e-05,0.3046196444334573,139.002063130783,0.018715062324385853,0.002857189377887707,0.356259867927752,140.4535691335062,0.020377308989778117,0.0031408960341651076,150,0.345492591015725,139.79272026300814,0.019602071352719658,0.0006097928851266806,0.009192723697623504,0.2811845379593417,0.000505871147979395,4.087282780242967e-05,0.30458854494083837,139.01113087220347,0.01871624423922097,0.0005056620431107815,0.35625802860227584,140.45400094196137,0.020377790501259107,0.0007256057467595201,150,0.0,140.14296,0.0,0.0,0.0,0.68951094,0.0,0.0,0,138.38074,0,0,0,141.99225,0,0
processed_data_batch_3.npz,150,0.3469205336360027,139.47646091132987,0.01872948330267584,0.0030108497736146766,0.00669556575405752,0.27380594430576044,0.00010164838806209834,5.847803412111747e-05,0.319150470228431,138.93580720079447,0.01847110756852152,0.002917899407162144,0.36034916856398697,140.11856025749924,0.018991839912978786,0.0031291836825463526,150,0.34691740377039054,139.4780421896256,0.01872921406033996,0.000605250058264194,0.00669473315912347,0.2744100861503213,0.00010185376900286393,3.859899327156402e-05,0.31915482490294894,138.9221319711802,0.018469846660628262,0.0005159465328469511,0.3603547825432742,140.12010367375012,0.01899265410157631,0.0007111232646822789,150,0.0,139.78432,0.0,0.0,0.0,0.57870823,0.0,0.0,0,138.19193,0,0,0,140.99542,0,0
processed_data_batch_4.npz,150,0.3450726250264905,139.58366036257556,0.018590613591327097,0.0030098357841766457,0.008147850546112065,0.34407962341928394,8.6321798296817e-05,5.7228909116111996e-05,0.3049612044233842,138.77348261015902,0.018376489325310837,0.0028835502943869644,0.3577960874160471,140.45341328121606,0.018792182969899377,0.003116531754277153,150,0.34507359142798444,139.58322478552336,0.01859062946670558,0.0006000480950124089,0.00814663032132596,0.34515206220990674,8.634254852548809e-05,3.796044836562762e-05,0.30495412569982017,138.7810198564679,0.018375967962436155,0.0005150689852789618,0.3577989073698984,140.45797198830198,0.018792826747586016,0.0007516827469990211,150,0.0,139.69731,0.0,0.0,0.0,0.68918055,0.0,0.0,0,137.99216,0,0,0,141.08209,0,0
processed_data_batch_5.npz,150,0.3399755638400917,139.8364590357365,0.018643469738295705,0.003006354006783898,0.016095005007274298,0.29185897195873844,0.00010015168459532862,5.988442323161842e-05,0.2707232577679767,139.14473403860939,0.018328395979848377,0.002901438012621255,0.3573660026830546,140.61414140033182,0.018886334351965763,0.003173071323514746,150,0.3399748976502041,139.83706934795092,0.01864324444658809,0.0006040902229518247,0.01609509169942755,0.29152755684393195,0.00010017886611475601,4.088872368365419e-05,0.2707115019035926,139.15237184627682,0.018327271988029498,0.0004988526273185462,0.35735227950839127,140.620478958729,0.01888444072443286,0.0007180968146525415,150,0.0,139.95819,0.0,0.0,0.0,0.68555075,0.0,0.0,0,138.32324,0,0,0,141.6045,0,0
processed_data_batch_6.npz,150,0.3443769835003739,139.67160578138945,0.01878032468605717,0.0030178119929402908,0.009349914484631154,0.3335980507804662,9.033759314891979e-05,5.658519475876621e-05,0.2954215217749143,138.9868008532586,0.018567599702207123,0.0028928332921079876,0.3570112583910953,140.58657357185803,0.019000993812609022,0.0031700109542794814,150,0.34437591947983914,139.67211216605946,0.018780218747284538,0.0006021137439915733,0.009347626846055957,0.33346117604402276,9.02992423659041e-05,4.075476415737694e-05,0.2954370701076981,138.99821003408417,0.018568308807222104,0.0005155995382313337,0.3569935483736413,140.56828990947974,0.019003173298529616,0.0007302420228676981,150,0.0,139.77296,0.0,0.0,0.0,0.66191334,0.0,0.0,0,138.07458,0,0,0,141.21036,0,0
processed_data_batch_7.npz,150,0.3448750227687746,139.68178539757625,0.01880243817594287,0.003016310475523439,0.008368713778740449,0.32676473911017273,8.555085383473372e-05,5.924059277103473e-05,0.3138008220222169,138.83752418192452,0.018561235775037554,0.002892041950382888,0.35726448108042524,140.3634968638911,0.019053065054418332,0.003159311973649513,150,0.34487427710402396,139.68240653908245,0.018802212497317384,0.0006085100233559126,0.008369805221500888,0.32671363398490955,8.550150917425089e-05,3.6378656124778196e-05,0.3138188963085589,138.83036915320972,0.01855822811007053,0.0005036694175155236,0.3572987682384136,140.3559705108658,0.019052134185327793,0.0007037929652786375,150,0.0,139.8605,0.0,0.0,0.0,0.6537629,0.0,0.0,0,138.14828,0,0,0,141.43317,0,0
processed_data_batch_8.npz,150,0.34680084261966043,139.54896770278552,0.01883169926233139,0.00301329761365202,0.006675542799525516,0.3524593394740059,9.317997853819582e-05,5.833712550983968e-05,0.32267953280866046,138.69413409854985,0.018566900369970708,0.0029042716280273904,0.3571760242526723,140.4951864923225,0.01902525906622523,0.0031514781770297508,150,0.3468004729609492,139.54940095032487,0.018831512097332855,0.0006039350018270128,0.006676137674252373,0.3529619114393544,9.329735648192402e-05,4.077434729000209e-05,0.3226676035668725,138.68996981825882,0.018565552335863798,0.0004933530979501473,0.35717222162918105,140.50086660538247,0.019026055949098328,0.0007085619358387503,150,0.0,139.79274,0.0,0.0,0.0,0.66720504,0.0,0.0,0,137.87431,0,0,0,141.67601,0,0
processed_data_batch_9.npz,150,0.3450495793200409,139.78948643338606,0.018790818098654186,0.003020876302399123,0.009565429324157645,0.27034115151238164,9.546473303200756e-05,6.240551535901746e-05,0.29776694382734376,139.03291835571378,0.018557501651900697,0.002894543507819574,0.3578470060307289,140.5144362253692,0.019073255468106756,0.0031579814807124167,150,0.34504959753703884,139.7895267438438,0.01879075406221024,0.0006013096632141551,0.009563098118098386,0.27081785933025837,9.540409319430581e-05,4.01405457937485e-05,0.29775683313402007,139.012962625474,0.018558743998498394,0.0004799941507195593,0.35786256454075743,140.52371549467176,0.019078365598175863,0.0007047834453790628,150,0.0,139.96716,0.0,0.0,0.0,0.66768694,0.0,0.0,0,137.87627,0,0,0,141.44046,0,0
processed_data_batch_10.npz,150,0.3431009540966143,139.61094496380812,0.018855923877783547,0.0030076583353694547,0.010073598287028761,0.29423642003203504,9.326957758919181e-05,5.55455118389418e-05,0.3011138005617366,138.94575385042936,0.018609264437835112,0.002891167035273664,0.3553597119796667,140.3321426117307,0.0190500156631734,0.003134091107486875,150,0.34310316731278334,139.60973263750887,0.018856140430829726,0.0006001302127168665,0.010072166519120712,0.29597632853084166,9.354200875821588e-05,3.5483626286177716e-05,0.3011102666180228,138.94917331924782,0.01860870257144731,0.0005048830864970062,0.35537601611059133,140.3246911478258,0.01904920910966596,0.0006938817388756229,150,0.0,139.68915,0.0,0.0,0.0,0.596859,0.0,0.0,0,138.20432,0,0,0,141.30716,0,0
