filename,Raw_successful_fits,Raw_I0_mean,Raw_Tau_mean,Raw_B_mean,Raw_Residuals_Std_mean,Raw_I0_std,Raw_Tau_std,Raw_B_std,Raw_Residuals_Std_std,Raw_I0_min,Raw_Tau_min,Raw_B_min,Raw_Residuals_Std_min,Raw_I0_max,Raw_Tau_max,Raw_B_max,Raw_Residuals_Std_max,Savitzky-Golay_successful_fits,Savitzky-Golay_I0_mean,Savitzky-Golay_Tau_mean,Savitzky-Golay_B_mean,Savitzky-Golay_Residuals_Std_mean,Savitzky-Golay_I0_std,Savitzky-Golay_Tau_std,Savitzky-Golay_B_std,Savitzky-Golay_Residuals_Std_std,Savitzky-Golay_I0_min,Savitzky-Golay_Tau_min,Savitzky-Golay_B_min,Savitzky-Golay_Residuals_Std_min,Savitzky-Golay_I0_max,Savitzky-Golay_Tau_max,Savitzky-Golay_B_max,Savitzky-Golay_Residuals_Std_max,CONV_successful_fits,CONV_I0_mean,CONV_Tau_mean,CONV_B_mean,CONV_Residuals_Std_mean,CONV_I0_std,CONV_Tau_std,CONV_B_std,CONV_Residuals_Std_std,CONV_I0_min,CONV_Tau_min,CONV_B_min,CONV_Residuals_Std_min,CONV_I0_max,CONV_Tau_max,CONV_B_max,CONV_Residuals_Std_max
processed_data_batch_1.npz,150,1.4357736253424154,139.1743146509167,0.020698831380763554,0.00415309085640838,0.053912884895588556,2.5084190066412404,0.0011415772573347795,0.002175440223550788,1.1711215266501176,121.52225168502818,0.015442082272779985,0.0033646029994963576,1.4988415001759459,154.33681459991192,0.028921651369809072,0.020403888523892178,150,1.435777041181207,139.17391390454816,0.02069911448972872,0.0017421406881224484,0.053913328274118655,2.508846077339004,0.0011420250906688464,0.002658833496049276,1.1711415199989121,121.5231311465134,0.01543463237975383,0.0006624851515693611,1.4988811837889269,154.3484052596346,0.0289212304179237,0.020076028770012487,150,1.4359809794960972,139.15106999813005,0.0206616244078374,0.0016152033348473633,0.05455693590106898,2.4347719108789816,0.0011037853576976455,0.002508527641840261,1.1714107262658158,123.35931787752573,0.015005248460533591,0.0005851701485282271,1.49909650894742,155.0267085197135,0.028006847365203327,0.018177985733034755
processed_data_batch_2.npz,150,1.4461979583419153,139.71940203769424,0.01962716088085935,0.0034758801256910324,0.037339125540217566,0.33275632225109436,0.0005493723665674319,6.61751135456563e-05,1.2767497035527313,138.73914596795987,0.018563967451568877,0.003331197086952255,1.4860694650473105,140.3333417482364,0.020658348958981464,0.0036847156364335385,150,1.446200202160974,139.7191543442476,0.01962727411460463,0.0008038562279698521,0.037338101908055754,0.33320742724973884,0.00054942903446648,6.665726920547964e-05,1.2767594464678707,138.74075250865988,0.018564372439270293,0.0006611860224010518,1.486015307727259,140.33825436282504,0.020655620304302773,0.0010183208193149385,150,1.446581704805917,139.67331010531532,0.019606893944777368,0.0006961840114990389,0.037395111773209776,0.3410672788860095,0.0005474366985763436,6.117915161526868e-05,1.2768413666716885,138.6963016508822,0.018547852903702745,0.0005304083623754076,1.486641966478522,140.2963060343397,0.02065720945387666,0.0008720070117951296
processed_data_batch_3.npz,150,1.45737474082758,139.3761236009034,0.018768030023998766,0.0034775042994466187,0.028372512061257925,0.3009628793115391,0.00015751475998285633,7.49029106814631e-05,1.3378314897348964,138.6507070185191,0.01843393882126304,0.003298892313964243,1.5052947354504096,140.22432782340545,0.01915253990062846,0.0036819224805273716,150,1.4573772087143761,139.37580338940646,0.018768298398967986,0.0007970591092389223,0.028375642204375363,0.30122294003697414,0.0001573473737824938,7.56644958760689e-05,1.337822113455179,138.6481486660214,0.01843357452581985,0.0006383579161490392,1.5053038282336555,140.22598517194265,0.019155066368382056,0.0010567425494897244,150,1.4578258457436069,139.31979209603088,0.0187604960256729,0.0007011679972368357,0.028443676190615108,0.3141095883870201,0.00016409689842279828,7.729635862252234e-05,1.3381679707089924,138.52539881915422,0.01839315510462535,0.0005303139243890719,1.5061473160017393,140.198782317657,0.019189664578516633,0.0009756741090781684
processed_data_batch_4.npz,150,1.4487158547107637,139.42530557872794,0.01865055729514932,0.003473983304672401,0.03313953229934682,0.37585575757701334,0.00016023849611817683,6.695843427034067e-05,1.2917770954762715,138.45487947078072,0.018292140911371824,0.0033235499614459657,1.4995992356583239,140.37602062326636,0.019092833539434667,0.003641215283177404,150,1.4487180168097553,139.42499628196256,0.018650830232716853,0.0007958886400098667,0.03313850514691498,0.37582872362366126,0.00016025578725284035,7.700645921977878e-05,1.2917532290097948,138.45752558883083,0.018296101693781992,0.0006422781986483116,1.4996080034047456,140.36948219215495,0.019091256653262483,0.0010675699406971116,150,1.449163191332378,139.36859803188383,0.018644210398155742,0.0007001987714503458,0.03321989579053694,0.38659039609855034,0.0001668030782230451,7.688816368930809e-05,1.2920403793333808,138.33734965134596,0.018293103179730114,0.000574176955807517,1.5003795174082744,140.35209814904178,0.019127366613635746,0.001025213333372361
processed_data_batch_5.npz,150,1.4219972761726782,139.79362693150676,0.018653354952343073,0.0034562205532034144,0.06648147718526175,0.22624722274817263,0.00014566377039425043,7.233953086955812e-05,1.137041833719331,139.20604763256776,0.01819876345092883,0.0032453854477395997,1.4939831988486325,140.37654402408936,0.019131786113533757,0.003646831850104161,150,1.4220001796400603,139.79320959548494,0.01865372514474648,0.0007942314397415397,0.06648099659590571,0.2258716170264454,0.0001456122447627206,7.284148911216794e-05,1.1370248689706595,139.2092050780476,0.018195531978768734,0.0006342607593599873,1.4939989347182572,140.38147699692306,0.01913292235539318,0.0010580689025874099,150,1.4223436761456707,139.74843556193792,0.01863965275636992,0.0006928340860332787,0.06661114326618385,0.223230917267607,0.00014461188176946027,7.114254382236414e-05,1.13714646179732,139.18465163319397,0.018200898157907333,0.0004999714719672975,1.494609099301826,140.36460009183395,0.019107390845697333,0.0009474269027459892
processed_data_batch_6.npz,150,1.443114193409248,139.6230550527635,0.018792468927024023,0.00348015675861692,0.03949783635285387,0.28123465853255714,0.00015246801776868526,6.529853516471275e-05,1.2353688553108773,138.81505171990034,0.018403574353549706,0.0033425638054126595,1.4926635579060192,140.3928157762344,0.01908268917094085,0.0036540066103053223,150,1.443120436395674,139.62234263152413,0.018792865110288628,0.0007963998321340053,0.03949976826163403,0.2809175723467809,0.00015239907926259134,7.239552550309322e-05,1.2353342675018613,138.8119812426039,0.018402087685017464,0.0006479641517809483,1.49267793049868,140.3919630107117,0.019079660701217607,0.0010615491464430486,150,1.4435121570977116,139.57334019173877,0.018780525294546237,0.0007008976933012557,0.03959115995882632,0.2905812966419075,0.00015700609681697933,7.696826361564285e-05,1.235423967551226,138.78051930186834,0.01835963704086939,0.0005543632167766255,1.4931940677238238,140.33740091916198,0.019082501816816356,0.0010742615652552657
processed_data_batch_7.npz,150,1.4454575447971458,139.60527117525132,0.01882713445847587,0.003473083586526743,0.0344399661008822,0.2997533774357896,0.00013516697762298516,6.954102119876227e-05,1.3142402590924247,138.74618235443722,0.01854037405651854,0.003314699693396652,1.4960441654728083,140.41543137307153,0.019159220326309952,0.00364207252872466,150,1.4454605282196729,139.60491994558515,0.01882732819038036,0.0007903110107513247,0.034440612489334846,0.29941745334874753,0.00013500239095364425,6.740983520825057e-05,1.3142465177357583,138.7403224418067,0.018542649687835484,0.0006493204033409634,1.4960413873576182,140.4136690119924,0.01915797501359939,0.0010973739001491176,150,1.4458605675475098,139.55523641760203,0.018814579627946824,0.0006917021232380386,0.03451896518962754,0.3023948363210723,0.0001369008033560781,6.333083801040272e-05,1.3143708581241775,138.7398934022347,0.01850921011294581,0.0005571334518055256,1.4965797123909463,140.3793736283622,0.019170934313354808,0.000999654812066973
processed_data_batch_8.npz,150,1.4552039937017172,139.49279623767117,0.01885108304851966,0.003478145910985623,0.028061030959565095,0.34835712464314683,0.0001641609916396721,6.41168180100806e-05,1.3551123429340297,138.7007071344622,0.018366244719045324,0.003319661101070403,1.4936394640722985,140.40147096671043,0.01924793020498188,0.0036685318117966746,150,1.455203327019142,139.49285838314856,0.018851081010646534,0.0007940764738428866,0.028064297227789334,0.3484267268714675,0.00016421662323253214,7.480084019361716e-05,1.3551101717718896,138.69942937611614,0.018363489577891145,0.0006417903964656495,1.4936295162446975,140.40838640186098,0.019247816550836124,0.0010503104467651336,150,1.455647223280995,139.43861938739508,0.018841340236947862,0.000693761058584296,0.028118300295214452,0.3573271227319336,0.00016745915971740422,6.920855297293127e-05,1.355423169094602,138.64220184307206,0.018344521778827023,0.0005643847029829517,1.4941547131597968,140.43811759245858,0.019236733561148727,0.0010028089117340641
processed_data_batch_9.npz,150,1.4423527167140555,139.83938772985883,0.018779600397252127,0.00348997968031085,0.03955491004218796,0.259981204593538,0.0001416680181810817,6.600173747727561e-05,1.240212060044713,139.04729725257926,0.018435156305541406,0.0033427484999326855,1.4990578254855975,140.5055818249858,0.01912728910219279,0.003654662837077618,150,1.442356420073256,139.83893414627676,0.01877991378581204,0.000800862609835459,0.039557165496707965,0.2602687812979153,0.00014191243408111007,6.952304911123211e-05,1.2402162814289086,139.05276426560417,0.018438042787507214,0.0006004610977507602,1.499026875692262,140.50935674910352,0.019125234934151362,0.0009761054463205563,150,1.4427177749502187,139.79181690200414,0.0187667411045627,0.0007004486564887727,0.039642810522214716,0.26764354818973335,0.0001435251635783123,7.045914986432296e-05,1.239970535735057,138.9661533375227,0.018408067125318135,0.0005281802763431203,1.4999201630715235,140.46130233224582,0.01912892005792315,0.0009767414463621913
processed_data_batch_10.npz,150,1.43819568729488,139.59163037793294,0.018861798865139386,0.0034707115107264607,0.04138047707508471,0.3209175251257765,0.00017488550811522755,7.079196032553114e-05,1.264825761047033,138.83674822397103,0.018144043468123473,0.003328502325372612,1.4925484856325149,140.4621628590295,0.01926311503241218,0.0036551818794605334,150,1.4381958927491412,139.59154851795702,0.018861968045127627,0.0008111370536961311,0.04138341880613966,0.32073430539399234,0.00017483473871875477,7.281483282492533e-05,1.2648021717433846,138.8377787807346,0.01814750152544226,0.0006177551229099317,1.4925785494787676,140.46468342113548,0.019263185614497365,0.0010690537506557855,150,1.4385927723924945,139.5415283249431,0.01884937218657177,0.0007086443586539748,0.04144790772358901,0.3303093200129015,0.0001797355544113985,7.535817196524066e-05,1.2651383316870914,138.7479407129746,0.018099811705318526,0.0005537179371115239,1.4932180894956255,140.45385470695638,0.01926780993338396,0.0010177776619154674
