filename,successful_fits,I0_count,I0_mean,I0_std,I0_min,I0_25%,I0_50%,I0_75%,I0_max,Tau_count,Tau_mean,Tau_std,Tau_min,Tau_25%,Tau_50%,Tau_75%,Tau_max,B_count,B_mean,B_std,B_min,B_25%,B_50%,B_75%,B_max,Residuals_std_count,Residuals_std_mean,Residuals_std_std,Residuals_std_min,Residuals_std_25%,Residuals_std_50%,Residuals_std_75%,Residuals_std_max
processed_data_batch_1.npz,150,150,1.43576473915427,0.053927783515664005,1.1710786658729384,1.425700414748926,1.4513463761330334,1.4659011298121694,1.498808745701861,150,139.1739256152102,2.3728267249094293,123.15554967215664,139.0999647677589,139.37300442434167,139.5897964719946,153.09062008500456,150,0.020689845568369843,0.0005808875410273812,0.018324329275257744,0.02047050532747845,0.020654385568141732,0.020897335803623355,0.02497332787732177,150,0.003814864520796815,0.0017345609365846761,0.0031842616352976607,0.003261453673470368,0.0033075663981018896,0.003381398749202255,0.01704583943725508
processed_data_batch_2.npz,150,150,1.4461988516884272,0.03733891755533792,1.2767489459306092,1.4336153126587867,1.4583986683274586,1.4720758036103854,1.486076831361618,150,139.7255648441436,0.3133350172315875,138.80318416740982,139.53576272577803,139.72664668786422,139.97275802589442,140.28243689137707,150,0.019598706118576784,0.0005202579194046854,0.01866662506881412,0.019197331569579076,0.01948881453269604,0.020095644011276233,0.02047887848521773,150,0.0032846289978487797,5.9401934537801524e-05,0.0031685515741010765,0.003235270283823607,0.0032840148896589073,0.003334246487391174,0.0034387314752556786
processed_data_batch_3.npz,150,150,1.4573759969450437,0.028372249266226546,1.3378309321537982,1.4438884003824335,1.4623231522972646,1.477674826062444,1.5053015271169086,150,139.3860265601074,0.2831966939755924,138.72993519819738,139.21818065515725,139.35297333741008,139.53877031758665,140.16568384818956,150,0.018729402362913473,0.000106316635324485,0.01849413602021687,0.018655859986407963,0.01873168660283056,0.018803358441415317,0.01901284210845687,150,0.0032841791328041005,6.449591803360916e-05,0.003156238892185481,0.003231360457016274,0.003281183713206164,0.0033344297817253913,0.003434779249580501
processed_data_batch_4.npz,150,150,1.4487175358344249,0.03313931114239968,1.2917789654041443,1.4438893984480465,1.456481408619087,1.4658388753664573,1.49960264283824,150,139.4387282504946,0.3567113400316215,138.54546880324693,139.21582126262695,139.43440870243472,139.67016008124253,140.34199487071564,150,0.01860280347323168,9.524970785802527e-05,0.01838101378254635,0.018542333874240542,0.018608632887197267,0.018670756584856518,0.018837840410945234,150,0.003281596561532908,5.8551207336716734e-05,0.003163179539497277,0.0032415562295358053,0.0032818110813342665,0.0033200781875890196,0.003419679709847343
processed_data_batch_5.npz,150,150,1.4219973755033064,0.06648136518716792,1.1370397743959928,1.3998490745076504,1.4428654049717207,1.4684318887150838,1.4939853571538728,150,139.79239553253166,0.20925412049525893,139.26039206186843,139.6504466522143,139.78200706362998,139.92725198813793,140.33456882692835,150,0.01864473475106177,9.29101406951865e-05,0.01838591388042672,0.01858906805679431,0.01863652431987415,0.018701379312172903,0.01887428829905782,150,0.003269639644813703,6.363815159434223e-05,0.003105936818138979,0.0032259231543917766,0.0032668845928494256,0.003313719508170586,0.0034349624382900156
processed_data_batch_6.npz,150,150,1.4431148214676084,0.03949797628672463,1.2353675026346538,1.4316705504694578,1.45290273282067,1.467736368399931,1.4926624047232784,150,139.6278637232713,0.2624576224659294,138.86387330634093,139.4730165437704,139.658668057352,139.8023267218229,140.33749436338655,150,0.018767406229462585,8.968906724839944e-05,0.01856462771203392,0.018707007492331333,0.018763472217537977,0.01883389320872893,0.018939255650849668,150,0.0032865658006452263,5.797689983612264e-05,0.0031726044348293547,0.003235833140719218,0.0032861204961751643,0.003327890718072931,0.003434433017721178
processed_data_batch_7.npz,150,150,1.4454585575680283,0.03444001956238342,1.314244780619318,1.4349571276896564,1.452070909971876,1.469787412535672,1.4960480918384158,150,139.61244361195205,0.28155632347032605,138.82017958313278,139.43333980498485,139.60748958807957,139.81554050689948,140.38337228238268,150,0.018795806482236856,8.035183719503635e-05,0.018575671476905274,0.018739989827733894,0.018795946619865007,0.018845636544109274,0.019005869244024656,150,0.003282344533561877,6.137930042389367e-05,0.0031384899693308503,0.0032369911724140247,0.0032814886509106803,0.00333229927112673,0.0034288404679714323
processed_data_batch_8.npz,150,150,1.4552050386073705,0.02806140710822896,1.3551110550177137,1.443561368710318,1.460845214336992,1.4731145580751095,1.4936444771859883,150,139.497674831571,0.32884859690695617,138.78041028402893,139.26823795287305,139.45277552087092,139.7314986500283,140.35757806137565,150,0.018825498010394497,9.704141180338089e-05,0.018549521463099117,0.01875919471356325,0.018827159971017193,0.018898914827086614,0.019029527029772935,150,0.003286826194568746,5.791618246203316e-05,0.0031648643191408187,0.0032440573474076155,0.0032725261139651338,0.003330094318521223,0.0034527899134215766
processed_data_batch_9.npz,150,150,1.4423530938277422,0.039554963925542856,1.2402158159155714,1.4255427498755435,1.452657013116453,1.4683036891284917,1.4990648834192508,150,139.83943353521988,0.24380615123439228,139.09742598895937,139.67773767372674,139.83059436723752,139.99996675537903,140.48475971990524,150,0.01876712942478492,9.04169505401133e-05,0.018529367662270712,0.018714498860866638,0.0187530135330982,0.01882390054959302,0.018984770004153172,150,0.0032961759364021933,6.006914012674672e-05,0.003169450833402387,0.0032483493208791607,0.003292790863129562,0.003346792371845232,0.00342817768846443
processed_data_batch_10.npz,150,150,1.438196311493092,0.0413797420869806,1.2648285926243925,1.424646603897094,1.4536340863864399,1.4646234175427209,1.4925465989700728,150,139.59506712871533,0.2983913885987783,138.92140961452034,139.40247195571297,139.59099099659772,139.79500505741174,140.35968597211166,150,0.018840979603085988,0.00010407216009755568,0.018379955279199053,0.018786225994822076,0.018837447380286337,0.01891102335322979,0.019055833922836073,150,0.0032815921427496726,6.227811001276481e-05,0.003166564140405703,0.003234575283235887,0.0032778535266344473,0.0033294340813343863,0.0034292207791867947
