num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,26.380599,0.127143,26.261884,0.126360,,0,,0
20,26.213300,0.227293,26.090332,0.219899,,0,,0
30,26.078036,0.291834,25.955659,0.286770,,0,,0
40,25.929082,0.365192,25.807662,0.360756,,0,,0
50,25.800539,0.421669,25.685058,0.410489,,0,,0
60,25.676222,0.477810,25.561254,0.468203,,0,,0
70,25.561240,0.526693,25.443086,0.523308,,0,,0
80,25.447292,0.580829,25.327837,0.578870,,0,,0
90,25.337383,0.632134,25.217129,0.631356,,0,,0
100,25.337383,0.632134,25.217129,0.631356,,0,,0
110,25.337383,0.632134,25.217129,0.631356,,0,,0
120,25.337383,0.632134,25.217129,0.631356,,0,,0
130,25.337383,0.632134,25.217129,0.631356,,0,,0
140,25.337383,0.632134,25.217129,0.631356,,0,,0
150,25.337383,0.632134,25.217129,0.631356,,0,,0
