num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,96.455736,0.303905,96.301748,0.269736,96.419508,0.320474,96.294372,0.266526
20,96.654854,0.377592,96.480190,0.329986,96.622720,0.392694,96.480534,0.334968
30,96.787137,0.403677,96.586682,0.341517,96.673745,0.416639,96.522476,0.349578
40,96.909299,0.420211,96.708499,0.374240,96.868976,0.463356,96.668366,0.386310
50,97.015944,0.440493,96.810950,0.397669,96.932519,0.483776,96.738526,0.418791
60,97.108248,0.465707,96.897402,0.427079,97.000349,0.502580,96.807368,0.438923
70,97.196983,0.494739,96.989613,0.464276,97.115142,0.549288,96.932911,0.502324
80,97.284636,0.524340,97.081173,0.502851,97.205369,0.572224,97.026757,0.527454
90,97.364139,0.546644,97.167223,0.537543,97.264194,0.603373,97.094980,0.577260
100,97.364139,0.546644,97.167223,0.537543,97.264194,0.603373,97.094980,0.577260
110,97.364139,0.546644,97.167223,0.537543,97.264194,0.603373,97.094980,0.577260
120,97.364139,0.546644,97.167223,0.537543,97.264194,0.603373,97.094980,0.577260
130,97.364139,0.546644,97.167223,0.537543,97.264194,0.603373,97.094980,0.577260
140,97.364139,0.546644,97.167223,0.537543,97.264194,0.603373,97.094980,0.577260
150,97.364139,0.546644,97.167223,0.537543,97.264194,0.603373,97.094980,0.577260
