num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.762462,0.168279,139.598797,0.186825,139.806758,0.207817,139.705156,0.196436
20,139.759045,0.133918,139.580851,0.202595,139.823214,0.161217,139.743510,0.159132
30,139.658872,0.189647,139.466686,0.240736,139.678962,0.239222,139.558449,0.287822
40,139.866828,1.692992,139.626317,1.368942,139.621530,0.238036,139.475138,0.299765
50,139.739113,1.540645,139.519194,1.250614,139.526086,0.332044,139.392171,0.353338
60,139.640830,1.424028,139.415616,1.167860,139.431233,0.338669,139.259469,0.400621
70,139.575273,1.329492,139.346717,1.096544,139.386368,0.331474,139.194652,0.400401
80,139.556827,1.261228,139.309951,1.041420,139.423472,0.414882,139.197461,0.399917
90,139.471495,1.736719,139.137686,2.062271,139.399568,0.408532,139.169824,0.398916
100,139.471495,1.736719,139.137686,2.062271,139.399568,0.408532,139.169824,0.398916
110,139.471495,1.736719,139.137686,2.062271,139.399568,0.408532,139.169824,0.398916
120,139.471495,1.736719,139.137686,2.062271,139.399568,0.408532,139.169824,0.398916
130,139.471495,1.736719,139.137686,2.062271,139.399568,0.408532,139.169824,0.398916
140,139.471495,1.736719,139.137686,2.062271,139.399568,0.408532,139.169824,0.398916
150,139.471495,1.736719,139.137686,2.062271,139.399568,0.408532,139.169824,0.398916
