filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC,tau_mean_robust,tau_std_robust,tau_mean_robust_QC,tau_std_robust_QC
processed_data_batch_33.npz,2000,139.533786,1.051272,139.572191,1.053679,139.857821,0.877423,139.863384,0.851988,139.535141,1.075432,139.792410,1.028185
processed_data_batch_34.npz,2000,139.560482,0.995690,139.479341,1.122196,139.318236,0.904187,139.200105,0.809235,139.480989,1.063547,139.452892,1.010315
processed_data_batch_35.npz,2000,139.376989,0.959181,139.349226,0.980213,139.556560,0.724125,139.396874,0.750012,139.387532,0.991504,139.399761,0.770117
processed_data_batch_36.npz,2000,139.439952,1.023003,139.468190,1.032437,139.345211,0.741523,139.198090,0.773950,139.428378,1.032666,139.310734,0.727221
processed_data_batch_37.npz,2000,139.350894,2.234529,139.444679,2.258988,139.479903,0.927079,139.496162,1.028167,139.485557,1.793500,139.448159,1.012436
processed_data_batch_38.npz,2000,139.947694,5.075557,139.900384,4.059334,139.568919,1.052845,139.595400,1.124324,139.861979,3.856279,139.597318,1.169435
processed_data_batch_39.npz,2000,139.368432,1.047744,139.372166,1.037037,139.583504,1.280639,139.500739,1.200127,139.339601,1.025473,139.443873,1.082939
processed_data_batch_40.npz,2000,138.990410,2.511854,139.066793,1.748319,138.907918,0.959647,138.921084,1.011285,139.019724,2.255615,138.938214,0.983075
processed_data_batch_41.npz,2000,139.282302,0.983811,139.321070,0.923138,139.567417,0.794019,139.258552,0.837431,139.289749,0.939585,139.327188,0.883051
processed_data_batch_42.npz,2000,139.167888,0.993834,139.180934,1.011373,139.240180,1.114207,139.254969,1.038241,139.179297,1.011934,139.281245,1.157180
processed_data_batch_43.npz,2000,139.033034,2.905727,139.012767,2.983127,138.974036,0.375059,139.045398,0.584166,139.020622,2.834154,139.128725,0.464480
processed_data_batch_44.npz,2000,138.691270,0.964209,138.695047,0.950102,138.475635,1.034308,138.310419,0.971175,138.705892,0.969054,138.457260,1.192566
processed_data_batch_45.npz,2000,138.478507,0.998776,138.459656,1.011653,138.118389,0.516150,138.057131,0.484149,138.474092,1.004726,138.191071,0.456258
processed_data_batch_46.npz,2000,137.730255,2.671303,137.781429,2.564242,137.672057,0.843801,137.836750,0.716999,137.757344,2.629978,137.775011,0.701830
processed_data_batch_47.npz,2000,135.807578,1.001019,135.832450,1.013813,136.339413,1.278702,136.370857,1.232698,135.821022,1.018323,136.351319,1.167810
processed_data_batch_48.npz,2000,121.795349,2.033732,121.801041,2.032133,121.251734,1.734204,121.326818,1.833669,121.786350,2.024503,121.269165,1.792663
processed_data_batch_49.npz,2000,68.866646,3.814168,68.874103,3.812478,67.528587,2.130127,67.720279,2.156099,68.867593,3.815591,67.589177,2.170263
processed_data_batch_54.npz,2000,66.013382,3.942493,65.997757,3.911850,65.791889,2.424738,66.323654,2.868196,66.005583,3.903470,65.758317,2.384960
processed_data_batch_55.npz,2000,120.638622,2.370290,120.628300,2.394352,121.117821,1.198158,121.092517,1.186756,120.627418,2.390423,121.112853,1.146362
processed_data_batch_56.npz,2000,136.091881,1.617992,136.188710,1.953945,136.007449,0.819625,135.997908,0.799659,136.104229,1.395628,135.943942,0.885027
processed_data_batch_57.npz,2000,137.921446,1.039083,137.958115,1.039305,137.811344,1.129990,137.787896,1.142991,137.921330,1.045610,137.817567,1.100204
processed_data_batch_58.npz,2000,138.619724,0.961159,138.611547,0.954256,138.559274,0.931162,138.667650,0.859788,138.609284,0.947273,138.744488,0.844403
processed_data_batch_59.npz,2000,138.908757,0.997198,138.886992,1.007984,138.678387,1.067430,138.680011,1.046844,138.877972,1.009383,138.739948,0.983858
processed_data_batch_60.npz,2000,139.002383,1.192031,139.008640,1.319255,138.935623,1.139114,138.912390,1.156987,139.009052,1.186070,138.933285,1.142843
processed_data_batch_61.npz,2000,139.375646,0.974942,139.361009,0.979190,139.133122,0.930589,139.155448,0.826278,139.364005,0.989890,139.174343,0.908987
processed_data_batch_62.npz,2000,139.343600,1.137934,139.375461,1.197592,139.033024,0.844978,139.096900,0.949392,139.395865,1.154852,139.260981,0.808670
processed_data_batch_63.npz,2000,139.611287,1.678409,139.644509,1.977648,139.570558,1.028181,139.612397,0.976944,139.615994,1.887181,139.526411,0.975695
processed_data_batch_64.npz,2000,139.552641,1.345791,139.453057,1.040466,139.422057,0.774149,139.392104,0.754248,139.565307,1.692466,139.319997,0.781778
processed_data_batch_65.npz,2000,139.599796,0.938643,139.613574,0.944640,139.693522,0.988764,139.702791,0.997561,139.605874,0.973867,139.747150,0.969746
processed_data_batch_66.npz,2000,139.798105,4.060674,139.780046,3.589945,139.874257,1.068412,139.954640,1.061173,139.798526,3.817693,139.941154,1.090146
processed_data_batch_67.npz,2000,139.992089,5.182797,140.015583,4.987021,139.734145,1.010334,139.686963,1.071457,139.979381,4.483024,139.474329,0.990675
processed_data_batch_68.npz,2000,140.676666,13.756318,140.645641,13.486495,139.607145,0.960804,139.520061,0.859783,140.590649,12.667304,139.606750,0.915266
processed_data_batch_69.npz,2000,139.733891,1.082611,139.752156,1.066379,139.262921,0.917913,139.193773,0.866724,139.724281,1.060409,139.248683,0.940492
processed_data_batch_70.npz,2000,139.650147,1.153416,139.630942,1.189735,140.127191,0.896571,140.076725,0.862466,139.653850,1.195723,140.140428,0.965485
processed_data_batch_71.npz,2000,139.493114,1.424036,139.519621,1.622519,139.330809,0.705207,139.364206,0.688816,139.531973,1.550347,139.335872,0.727366
processed_data_batch_72.npz,2000,139.642882,1.167982,139.655090,1.178061,139.529490,0.470814,139.287479,0.548157,139.651983,1.185916,139.223292,0.586964
processed_data_batch_73.npz,2000,139.501301,4.351643,139.512186,4.136722,139.400029,0.846728,139.558798,0.778204,139.449561,4.093352,139.465200,0.825927
processed_data_batch_74.npz,2000,139.654793,1.085380,139.668602,1.092033,139.282821,0.683058,139.267957,0.684040,139.683774,1.098374,139.278021,0.706079
processed_data_batch_75.npz,2000,139.656931,1.630951,139.680461,2.067668,138.356382,2.030350,138.286324,2.590312,139.635292,1.428863,138.478820,2.108720
processed_data_batch_76.npz,2000,139.706528,1.068803,139.741306,1.051377,139.940983,1.391990,140.108606,1.368636,139.708187,1.092915,140.009692,1.415137
processed_data_batch_77.npz,2000,139.874981,1.873916,139.923968,2.299528,140.257006,0.586268,140.298889,0.695426,139.867272,1.951517,140.265412,0.623440
processed_data_batch_78.npz,2000,139.668435,1.079750,139.676940,1.057087,139.924360,1.232640,139.717997,1.144700,139.654594,1.092054,139.722596,1.209291
processed_data_batch_79.npz,2000,139.740683,0.992024,139.783710,1.009358,139.123746,1.129014,138.861383,1.085231,139.750891,1.016283,138.896194,1.116072
processed_data_batch_80.npz,2000,139.481629,1.445284,139.516338,1.325100,139.246263,1.142421,139.313826,1.165528,139.512025,1.295858,139.382663,1.232383
processed_data_batch_81.npz,2000,139.697114,0.972578,139.686946,0.959853,139.455337,1.059542,139.566039,1.067176,139.703783,1.009822,139.589829,1.175753
processed_data_batch_82.npz,2000,139.728190,1.019176,139.712225,1.075490,139.658197,0.651176,139.737981,0.760428,139.715126,1.051833,139.681728,0.727285
processed_data_batch_83.npz,2000,139.346409,3.379742,139.395878,3.264196,139.526037,0.986067,139.412344,0.865585,139.408271,2.964600,139.368207,1.034396
processed_data_batch_84.npz,2000,139.889958,2.776719,139.918028,2.999619,139.451895,0.674760,139.573919,0.736058,139.927342,2.933720,139.668179,0.756167
processed_data_batch_85.npz,2000,140.118207,5.474011,140.043797,4.142746,139.350790,1.094122,139.462038,1.170461,140.141809,5.326637,139.387785,1.110982
processed_data_batch_86.npz,2000,139.556235,1.080261,139.606567,1.099264,139.446818,0.921403,139.563551,0.877350,139.590949,1.074450,139.542100,0.840987
processed_data_batch_87.npz,2000,139.387646,1.876923,139.418407,1.876381,139.455051,1.068963,139.574059,1.066896,139.460568,1.413923,139.585054,1.064134
processed_data_batch_88.npz,2000,140.120385,3.648188,140.024539,2.669658,139.315898,0.930525,139.301183,0.910554,140.060295,3.187818,139.298478,0.894403
processed_data_batch_89.npz,2000,139.595666,1.376248,139.559177,2.013188,139.921410,0.869704,139.934183,0.713795,139.525369,2.203839,140.026811,0.915700
processed_data_batch_90.npz,2000,140.084621,6.180834,140.229556,8.181948,140.057866,1.161989,139.997440,0.981680,139.933908,5.245070,139.919298,1.017461
processed_data_batch_91.npz,2000,139.796704,1.082646,139.765593,1.078115,139.930216,0.901338,139.851916,0.829173,139.764348,1.098778,139.912487,0.943685
processed_data_batch_92.npz,2000,139.632172,0.929460,139.634283,0.945149,139.589781,0.601360,139.553064,0.597471,139.632854,0.956417,139.492720,0.632164
processed_data_batch_93.npz,2000,139.909983,0.990346,139.914673,0.978785,139.982104,0.780354,140.194492,0.901466,139.918421,0.971893,140.089632,0.894676
processed_data_batch_94.npz,2000,139.959892,4.716407,140.058357,6.362025,139.578405,0.819571,139.615692,0.792442,139.848175,3.619832,139.563714,0.863592
processed_data_batch_95.npz,2000,139.501326,2.087692,139.487986,2.568478,139.470944,0.969317,139.569920,1.059668,139.524910,1.974100,139.545782,1.067525
processed_data_batch_96.npz,2000,139.427182,1.581408,139.447327,1.412116,139.478363,0.918134,139.370911,1.057538,139.480035,1.189728,139.433627,1.106706
processed_data_batch_97.npz,2000,139.741502,1.079171,139.759199,1.072010,139.683788,1.031395,139.868396,1.091038,139.754323,1.060935,139.682762,1.106542
processed_data_batch_98.npz,2000,139.695707,0.996333,139.692809,0.958138,140.514473,1.280016,140.546256,1.336467,139.683766,0.988479,140.498490,1.260434
processed_data_batch_99.npz,2000,139.743051,0.938307,139.854222,1.526109,139.612548,1.230610,139.529900,1.186332,139.895244,2.094924,139.599542,1.186618
processed_data_batch_100.npz,2000,139.747820,1.036606,139.793894,1.011852,139.685191,0.919403,139.850850,0.843480,139.822022,1.000118,139.764248,0.868244
processed_data_batch_101.npz,2000,139.656500,1.055543,139.693561,1.062859,139.647107,0.987665,139.563692,0.888055,139.699167,1.083692,139.392396,0.953160
processed_data_batch_1.npz,4000,139.298551,3.515872,139.367054,3.991216,139.329903,0.414221,139.361771,0.471044,139.489072,2.924697,139.349493,0.456700
processed_data_batch_2.npz,4000,139.752271,0.455864,139.744301,0.523765,139.819839,0.473921,139.822346,0.529426,139.744729,0.512669,139.817056,0.520303
processed_data_batch_3.npz,4000,139.409155,0.436347,139.396432,0.485884,139.444965,0.500960,139.439073,0.548593,139.390643,0.480330,139.444565,0.547047
processed_data_batch_4.npz,4000,139.404926,0.500709,139.399971,0.554567,139.437654,0.510437,139.465135,0.585372,139.398493,0.547522,139.434234,0.582019
processed_data_batch_5.npz,4000,139.828579,0.319743,139.821282,0.424996,139.766641,0.280678,139.743150,0.377165,139.812179,0.401064,139.739112,0.347892
processed_data_batch_6.npz,4000,139.658573,0.414960,139.669438,0.480970,139.627223,0.442796,139.664356,0.494524,139.665224,0.472523,139.647067,0.487771
processed_data_batch_7.npz,4000,139.634371,0.382015,139.640448,0.460514,139.619376,0.356556,139.644586,0.410962,139.630973,0.449178,139.628056,0.398588
processed_data_batch_8.npz,4000,139.533140,0.472839,139.547667,0.526987,139.572911,0.510808,139.597873,0.558574,139.540202,0.511977,139.586585,0.540957
processed_data_batch_9.npz,4000,139.920879,0.397486,139.901546,0.396356,139.932526,0.397674,139.925129,0.400988,139.901516,0.393117,139.925477,0.403823
processed_data_batch_10.npz,4000,139.639002,0.474898,139.662148,0.533301,139.585882,0.442911,139.610505,0.500068,139.642437,0.534823,139.594416,0.506733
processed_data_batch_11.npz,4000,139.423305,1.565578,139.434349,1.445044,139.536489,0.494516,139.555239,0.550993,139.424667,1.508933,139.544976,0.547524
processed_data_batch_12.npz,4000,139.559030,1.397635,139.585604,1.256038,139.541944,0.466127,139.531235,0.464906,139.569953,1.237233,139.532150,0.456765
processed_data_batch_13.npz,4000,138.668048,3.021296,138.737953,2.464156,139.098153,0.421821,139.083888,0.473568,138.678943,2.930440,139.090169,0.458676
processed_data_batch_14.npz,4000,138.461388,3.546995,138.437656,2.970781,138.157199,0.489627,138.158720,0.506394,138.520347,3.225167,138.162900,0.507073
processed_data_batch_15.npz,4000,131.674820,1.955855,131.590352,2.638491,131.752774,0.552623,131.757609,0.528682,131.638332,2.009264,131.747298,0.529182
processed_data_batch_16.npz,4000,112.649157,0.952340,112.554422,0.708259,112.762664,0.684315,112.696630,0.714618,112.556987,0.674652,112.680333,0.714434
processed_data_batch_17.npz,4000,86.512987,1.087883,86.342841,1.691224,86.588714,0.752487,86.480895,0.747170,86.399574,1.039033,86.483329,0.745310
processed_data_batch_18.npz,4000,71.957340,0.303886,71.844506,0.451668,71.931958,0.442360,71.911408,0.260795,71.865942,0.283826,71.861664,0.365358
processed_data_batch_19.npz,4000,75.616494,0.521019,75.559747,0.543942,75.727961,0.487842,75.654133,0.504712,75.554509,0.528181,75.664706,0.502740
processed_data_batch_20.npz,4000,96.498587,1.037841,96.439538,1.035639,96.524104,1.011007,96.434668,1.002420,96.439180,1.041235,96.438822,1.011635
processed_data_batch_21.npz,4000,122.641060,0.857764,122.645910,0.888638,122.600205,0.876999,122.575231,0.907738,122.637905,0.882797,122.576087,0.905686
processed_data_batch_22.npz,4000,135.898416,0.484282,135.887317,0.554960,135.859025,0.444005,135.848053,0.513634,135.879549,0.538428,135.840889,0.483208
processed_data_batch_23.npz,4000,139.012800,0.444328,138.996119,0.504492,138.930912,0.404775,138.894886,0.431321,139.000033,0.496779,138.928167,0.428714
processed_data_batch_24.npz,4000,139.288475,0.431083,139.290063,0.532193,139.301456,0.470428,139.288111,0.599036,139.274713,0.513785,139.263435,0.571793
processed_data_batch_25.npz,4000,139.445285,2.516099,139.523525,2.291021,139.303669,0.494250,139.306520,0.515893,139.508932,2.291343,139.308663,0.496864
processed_data_batch_26.npz,4000,139.492172,0.502945,139.457888,0.526181,139.456182,0.503141,139.469358,0.543576,139.459257,0.525500,139.453205,0.539587
processed_data_batch_27.npz,4000,139.383420,0.425209,139.373520,0.497110,139.338114,0.413632,139.329318,0.478548,139.373610,0.484203,139.324730,0.461447
processed_data_batch_28.npz,4000,139.533725,0.463082,139.541544,0.538526,139.521032,0.505944,139.497507,0.575962,139.534614,0.530579,139.495899,0.576127
processed_data_batch_29.npz,4000,139.551860,0.393433,139.573587,0.470903,139.491708,0.381287,139.552810,0.421961,139.564932,0.460087,139.511441,0.431926
processed_data_batch_30.npz,4000,139.459181,1.365992,139.430631,0.781584,139.483625,0.458262,139.493486,0.486505,139.402237,0.722916,139.470452,0.490198
processed_data_batch_31.npz,4000,139.306661,1.623735,139.324777,1.596569,139.542642,0.499443,139.561452,0.523131,139.312655,1.626466,139.550974,0.526678
processed_data_batch_32.npz,4000,139.500221,0.464347,139.500821,0.528996,139.474761,0.473135,139.443625,0.531408,139.494867,0.527916,139.460760,0.529848
processed_data_batch_33.npz,4000,139.497668,0.413049,139.487826,0.481581,139.529300,0.401379,139.493679,0.467343,139.477746,0.470918,139.497189,0.451568
processed_data_batch_34.npz,4000,139.587957,1.681759,139.582857,1.609491,139.455965,0.452195,139.448451,0.517536,139.587158,1.684318,139.447533,0.499570
processed_data_batch_35.npz,4000,139.429020,0.478940,139.403842,0.526073,139.409312,0.472854,139.412693,0.530543,139.412699,0.523934,139.415279,0.533116
processed_data_batch_36.npz,4000,139.392073,0.445343,139.382580,0.511189,139.451481,0.481394,139.450611,0.539720,139.378335,0.501853,139.434841,0.528357
processed_data_batch_37.npz,4000,139.358560,1.458461,139.316834,1.015288,139.462212,0.465413,139.442949,0.489654,139.290559,1.070963,139.438099,0.490067
processed_data_batch_38.npz,4000,139.263653,1.229404,139.349111,0.664482,139.512402,0.469459,139.539684,0.518600,139.328594,0.749723,139.527468,0.509575
processed_data_batch_39.npz,4000,139.279339,0.436245,139.272165,0.498019,139.297904,0.374514,139.280638,0.446554,139.264768,0.491541,139.277135,0.444842
processed_data_batch_40.npz,4000,139.049283,2.065919,138.960796,2.102495,139.192119,0.457489,139.198352,0.555882,138.957949,2.035481,139.201762,0.520471
processed_data_batch_41.npz,4000,139.128790,0.513181,139.142428,0.538504,139.052393,0.490102,139.049958,0.499344,139.128536,0.536465,139.028516,0.488050
processed_data_batch_42.npz,4000,139.061191,0.427458,139.062824,0.478346,139.070592,0.451469,139.058519,0.492582,139.062830,0.467089,139.063564,0.483958
processed_data_batch_43.npz,4000,139.227380,2.304029,139.179116,1.664882,138.968137,0.420356,138.968835,0.482597,139.210031,2.099553,138.969165,0.482570
processed_data_batch_44.npz,4000,138.696227,0.535300,138.662582,0.551581,138.660700,0.420782,138.625254,0.436324,138.661744,0.546656,138.644150,0.426573
processed_data_batch_45.npz,4000,138.493834,0.425831,138.472987,0.484890,138.402370,0.429926,138.365925,0.493963,138.473625,0.472676,138.364386,0.477536
processed_data_batch_46.npz,4000,137.714615,1.303488,137.699132,1.584262,137.880383,0.378158,137.873437,0.471778,137.711087,1.347288,137.860013,0.448639
processed_data_batch_47.npz,4000,135.812306,0.525944,135.792556,0.565361,135.758930,0.493366,135.762888,0.544333,135.790966,0.557488,135.756873,0.521281
processed_data_batch_48.npz,4000,121.716307,1.952990,121.709522,1.947535,121.696706,1.894320,121.615568,1.868541,121.702395,1.945093,121.612062,1.845370
processed_data_batch_49.npz,4000,68.923038,3.764808,68.850014,3.779546,69.058457,3.266378,69.071442,3.310894,68.847279,3.780382,68.957558,3.303110
processed_data_batch_54.npz,4000,66.119396,3.809232,66.019324,3.839753,68.066418,1.943207,67.893205,1.934369,66.020273,3.842528,67.891201,1.932857
processed_data_batch_55.npz,4000,120.566996,2.393429,120.554532,2.379273,120.681205,2.409432,120.658773,2.434634,120.547191,2.381148,120.612208,2.436225
processed_data_batch_56.npz,4000,135.866444,0.613137,135.898270,0.758179,135.749667,0.511492,135.760785,0.544821,135.859973,0.630885,135.740953,0.535915
processed_data_batch_57.npz,4000,137.889010,0.456839,137.890153,0.518623,137.913606,0.513717,137.935034,0.558945,137.883997,0.517602,137.925881,0.557023
processed_data_batch_58.npz,4000,138.434872,0.491774,138.452228,0.519783,138.454868,0.475583,138.465031,0.475622,138.445246,0.514663,138.453960,0.471532
processed_data_batch_59.npz,4000,138.803167,0.436666,138.811402,0.498040,138.786386,0.460820,138.780599,0.513598,138.804960,0.488505,138.766003,0.501196
processed_data_batch_60.npz,4000,138.817251,1.079386,138.822539,1.029944,138.928418,0.452627,138.947167,0.513042,138.823116,0.991802,138.938014,0.508137
processed_data_batch_61.npz,4000,139.213367,0.464520,139.227438,0.521464,139.207002,0.501799,139.220138,0.563652,139.227608,0.510369,139.233468,0.544043
processed_data_batch_62.npz,4000,139.136487,1.150219,139.177788,1.061444,139.198590,0.575080,139.189796,0.613295,139.184566,1.012561,139.182407,0.610814
processed_data_batch_63.npz,4000,139.285343,0.899382,139.311137,0.687177,139.331157,0.504686,139.348169,0.524769,139.279302,0.826222,139.327015,0.512599
processed_data_batch_64.npz,4000,139.407128,2.016526,139.407180,2.074612,139.340933,0.463631,139.399626,0.485011,139.400463,2.089772,139.385638,0.491410
processed_data_batch_65.npz,4000,139.356147,0.450761,139.377497,0.494155,139.333665,0.390071,139.343731,0.445969,139.367361,0.491448,139.336862,0.427764
processed_data_batch_66.npz,4000,139.485284,1.303909,139.505476,1.700859,139.361821,0.468259,139.342533,0.516156,139.482071,1.412299,139.350211,0.513200
processed_data_batch_67.npz,4000,139.384636,1.413615,139.452832,0.824425,139.528984,0.475524,139.560739,0.524912,139.442824,0.971205,139.561415,0.525707
processed_data_batch_68.npz,4000,139.687715,2.915921,139.756783,3.872154,139.465266,0.464464,139.474734,0.523797,139.689453,3.125456,139.457657,0.503960
processed_data_batch_69.npz,4000,139.536497,0.486198,139.562373,0.519272,139.597505,0.456778,139.604569,0.526632,139.549248,0.523618,139.605920,0.525643
processed_data_batch_70.npz,4000,139.579401,0.439874,139.559682,0.526239,139.631735,0.453819,139.645006,0.505819,139.570206,0.508984,139.661104,0.498367
processed_data_batch_71.npz,4000,139.568536,1.008523,139.545583,0.832493,139.462331,0.499823,139.448326,0.476876,139.563142,0.983443,139.450959,0.469371
processed_data_batch_72.npz,4000,139.581760,0.513071,139.569722,0.596046,139.588198,0.445830,139.572393,0.527941,139.568184,0.589723,139.566831,0.525670
processed_data_batch_73.npz,4000,139.315584,2.390884,139.294409,2.741924,139.531954,0.373265,139.524270,0.390201,139.289782,2.514047,139.517453,0.389288
processed_data_batch_74.npz,4000,139.589683,0.469081,139.586799,0.547733,139.534835,0.412493,139.537035,0.508262,139.588791,0.535561,139.528241,0.492172
processed_data_batch_75.npz,4000,139.592299,0.657356,139.607207,0.816110,139.533949,0.442287,139.526055,0.507083,139.587672,0.702684,139.506039,0.482108
processed_data_batch_76.npz,4000,139.534808,0.450548,139.548024,0.521373,139.563290,0.470180,139.558766,0.544988,139.537498,0.519558,139.556177,0.548552
processed_data_batch_77.npz,4000,139.559969,1.504267,139.582121,1.049022,139.667558,0.455292,139.665392,0.494641,139.559835,1.295245,139.653344,0.493865
processed_data_batch_78.npz,4000,139.572084,0.469809,139.573424,0.537716,139.578084,0.463002,139.544141,0.561550,139.567152,0.525633,139.541698,0.550918
processed_data_batch_79.npz,4000,139.653942,0.640567,139.617459,0.742863,139.639228,0.335114,139.622243,0.394038,139.603187,0.777024,139.605145,0.376097
processed_data_batch_80.npz,4000,139.612701,0.584246,139.556597,0.540420,139.473030,0.463295,139.433573,0.517526,139.550103,0.540434,139.426211,0.508625
processed_data_batch_81.npz,4000,139.563320,0.793760,139.574419,0.666478,139.667262,0.472261,139.673453,0.493888,139.572577,0.659643,139.678030,0.493036
processed_data_batch_82.npz,4000,139.750356,0.967423,139.704302,0.672599,139.605661,0.404141,139.571599,0.464186,139.700584,0.636247,139.570253,0.450285
processed_data_batch_83.npz,4000,139.783491,2.379342,139.699463,1.606246,139.601445,0.414329,139.582792,0.495772,139.737781,2.088406,139.590438,0.487711
processed_data_batch_84.npz,4000,139.435070,1.194782,139.467273,0.840429,139.525396,0.460179,139.526403,0.492318,139.458485,0.945356,139.524593,0.494646
processed_data_batch_85.npz,4000,139.697205,2.100297,139.746744,2.647544,139.496697,0.416308,139.508925,0.476631,139.704183,2.194084,139.494759,0.452284
processed_data_batch_86.npz,4000,139.475743,0.449246,139.485423,0.511955,139.506883,0.424372,139.539340,0.474550,139.481350,0.492078,139.535335,0.460752
processed_data_batch_87.npz,4000,139.666636,1.322432,139.601363,0.907406,139.513904,0.428058,139.509558,0.443469,139.572711,0.723029,139.499608,0.445419
