num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,140.204942,1.099811,140.095673,1.589298,139.803354,0.098556,139.499189,0.103421
20,139.402511,2.212353,138.775397,4.269177,139.803354,0.098556,139.499189,0.103421
30,139.095800,3.518234,138.784853,4.902331,139.754191,0.142053,139.471481,0.112925
40,138.864439,3.587993,138.710920,4.420830,139.754191,0.142053,139.471481,0.112925
50,138.964921,3.452512,138.818432,3.996674,139.761754,0.304416,139.467544,0.260321
60,138.988179,3.200727,138.905606,3.656682,139.542198,0.597896,139.417622,0.264049
70,139.100906,2.992658,139.002443,3.394544,139.577315,0.730276,139.444302,0.245319
80,139.155568,2.807077,139.037020,3.177746,139.569000,0.654908,139.380207,0.255011
90,139.211328,2.653166,139.074621,2.999059,139.595858,0.621732,139.384033,0.257314
100,139.258565,2.522975,139.111050,2.848778,139.618219,0.592151,139.399917,0.262152
110,139.282034,2.408535,139.128966,2.718435,139.607118,0.571469,139.388502,0.266334
120,139.293443,2.307056,139.135887,2.603624,139.570515,0.530833,139.350394,0.271296
130,139.310784,2.217816,139.145923,2.502288,139.559185,0.505772,139.338923,0.268437
140,139.337113,2.140067,139.170651,2.413849,139.565274,0.489870,139.352313,0.268451
150,139.348533,2.068328,139.175758,2.332614,139.562133,0.473104,139.343949,0.263857
