num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.531896,0.197761,139.356223,0.239077,139.508874,0.210873,139.314620,0.233860
20,139.584660,0.257529,139.412272,0.307147,139.523809,0.268168,139.333645,0.300913
30,139.663485,0.250592,139.489153,0.305499,139.619831,0.282853,139.447796,0.321296
40,139.670746,0.234412,139.476331,0.292131,139.657342,0.267841,139.475188,0.311373
50,139.634034,0.230298,139.422204,0.295508,139.637155,0.252683,139.442108,0.302372
60,139.638109,0.229839,139.425100,0.292372,139.644577,0.237358,139.447216,0.296049
70,139.666866,0.228251,139.459270,0.289306,139.685493,0.231765,139.493646,0.289551
80,139.706644,0.240407,139.511590,0.310683,139.721657,0.236714,139.551023,0.312815
90,139.722287,0.238732,139.523545,0.309904,139.743619,0.240148,139.569844,0.315836
100,139.720880,0.232210,139.527550,0.300549,139.744048,0.236781,139.576423,0.306333
110,139.702714,0.235787,139.508330,0.302360,139.722753,0.245046,139.550701,0.314616
120,139.697602,0.231954,139.499615,0.295953,139.717980,0.238212,139.538091,0.304888
130,139.701311,0.226895,139.503504,0.292862,139.721575,0.231461,139.538037,0.302288
140,139.717709,0.229298,139.520108,0.291153,139.732169,0.231770,139.546359,0.297096
150,139.730981,0.228569,139.539170,0.292827,139.744364,0.231565,139.566182,0.300152
