num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,29.607050,0.344623,29.503497,0.358870,,0,,0
20,29.127448,0.558400,29.005851,0.581408,,0,,0
30,28.789076,0.671216,28.665289,0.686200,,0,,0
40,28.466496,0.812439,28.356319,0.806192,,0,,0
50,28.201177,0.905943,28.082483,0.910699,,0,,0
60,27.958066,0.993775,27.835729,1.000868,,0,,0
70,27.732714,1.074019,27.610894,1.078989,,0,,0
80,27.521875,1.150824,27.399379,1.155246,,0,,0
90,27.331390,1.213354,27.209039,1.216847,,0,,0
100,27.146473,1.278251,27.024502,1.280716,,0,,0
110,26.977372,1.331773,26.858151,1.330332,,0,,0
120,26.817144,1.381900,26.698491,1.379777,,0,,0
130,26.667468,1.425790,26.547382,1.425663,,0,,0
140,26.523338,1.469648,26.402648,1.470064,,0,,0
150,26.385656,1.510995,26.264569,1.511806,,0,,0
