num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.638427,0.199278,139.448428,0.234845,139.542661,0.217762,139.365437,0.288318
20,139.679326,0.180680,139.450798,0.209014,139.673090,0.208371,139.426799,0.231681
30,139.741229,0.182412,139.494114,0.198312,139.732082,0.205872,139.450595,0.203235
40,139.797445,0.254553,139.543933,0.263071,139.800952,0.294476,139.522982,0.300977
50,139.785838,0.355755,139.572828,0.280271,139.769473,0.430396,139.560763,0.317559
60,139.806071,0.332035,139.601284,0.272784,139.790397,0.398995,139.585787,0.299272
70,139.864839,0.770567,139.614584,0.386637,139.762937,0.418318,139.564939,0.339849
80,140.046854,1.472480,139.777844,1.306934,139.761118,0.401279,139.558618,0.327646
90,140.019860,1.391895,139.760401,1.236278,139.761375,0.388705,139.566346,0.323883
100,139.972985,1.329445,139.712441,1.185137,139.748784,0.378362,139.554820,0.319375
110,139.925557,1.277993,139.673167,1.138499,139.717774,0.380758,139.530072,0.320056
120,139.889016,1.230043,139.642402,1.096730,139.703946,0.369943,139.520665,0.315156
130,139.855700,1.187730,139.615705,1.059327,139.678703,0.364976,139.493202,0.319361
140,139.820379,1.152720,139.582917,1.029840,139.668826,0.361153,139.484356,0.320877
150,139.790719,1.120487,139.554829,1.003017,139.642897,0.365656,139.456008,0.335762
