num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.752508,0.220118,139.540204,0.355103,139.807382,0.160022,139.638231,0.248511
20,139.812289,0.237259,139.622210,0.368599,139.852763,0.205157,139.707233,0.352186
30,139.886676,0.247696,139.703973,0.379628,139.869694,0.195369,139.697559,0.329816
40,139.919969,0.226684,139.719214,0.341668,139.898954,0.190780,139.709874,0.315428
50,139.924604,0.213606,139.715580,0.324303,139.919208,0.185928,139.701105,0.307523
60,139.914023,0.202876,139.699668,0.307882,139.897180,0.175292,139.677597,0.284974
70,139.891979,0.204069,139.674721,0.296838,139.869596,0.181443,139.649333,0.273388
80,139.882934,0.201831,139.663594,0.294473,139.859151,0.189843,139.633326,0.280974
90,139.872184,0.199248,139.646481,0.296081,139.850189,0.184649,139.614389,0.272983
100,139.872378,0.195458,139.642984,0.289931,139.850178,0.186041,139.614410,0.270703
110,139.871555,0.192061,139.644496,0.282453,139.852350,0.183589,139.618994,0.265579
120,139.871205,0.187672,139.641863,0.280430,139.856063,0.177324,139.622558,0.260375
130,139.858241,0.201774,139.621733,0.289309,139.833317,0.202650,139.590234,0.278212
140,139.849688,0.208474,139.614971,0.287859,139.823297,0.215364,139.581800,0.280564
150,139.836451,0.218102,139.598642,0.292617,139.813430,0.226220,139.570060,0.284005
