filename,signals_in_file,signals_fitted,signals_passed_qc,signals_skipped_qc,signals_failed_to_fit,B_mean_after_qc,B_mean_before_qc,B_std_after_qc,B_std_before_qc,I0_mean_after_qc,I0_mean_before_qc,I0_std_after_qc,I0_std_before_qc,residuals_std_mean_after_qc,residuals_std_mean_before_qc,residuals_std_std_after_qc,residuals_std_std_before_qc,tau_mean_after_qc,tau_mean_before_qc,tau_std_after_qc,tau_std_before_qc
processed_data_batch_29.npz,150,150,78,72,0,0.022936,0.022932,0.000093,0.000090,1.435833,1.430365,0.053235,0.068370,0.003268,0.003263,0.000057,0.000058,139.520357,139.543190,0.265589,0.282790
processed_data_batch_30.npz,150,150,83,67,0,0.022987,0.023010,0.000124,0.000191,1.442066,1.445087,0.055008,0.052075,0.003286,0.003343,0.000172,0.000513,139.450740,139.551000,0.338152,1.007394
processed_data_batch_31.npz,150,150,83,67,0,0.023025,0.023043,0.000093,0.000193,1.450762,1.449914,0.036886,0.035153,0.003276,0.003312,0.000060,0.000463,139.459224,139.350030,0.361405,1.105275
processed_data_batch_32.npz,150,150,73,77,0,0.023081,0.023082,0.000081,0.000085,1.446096,1.450159,0.043111,0.038776,0.003280,0.003274,0.000060,0.000060,139.497298,139.487949,0.329454,0.329260
processed_data_batch_33.npz,150,150,85,65,0,0.023067,0.023069,0.000100,0.000090,1.458033,1.450354,0.038996,0.047774,0.003268,0.003267,0.000063,0.000059,139.502782,139.485226,0.261765,0.278051
processed_data_batch_34.npz,150,150,92,58,0,0.023082,0.023060,0.000145,0.000199,1.452675,1.450504,0.039053,0.042769,0.003276,0.003308,0.000100,0.000430,139.468838,139.536475,0.323915,0.931002
processed_data_batch_35.npz,150,150,90,60,0,0.023067,0.023074,0.000099,0.000094,1.444304,1.444351,0.044247,0.046886,0.003279,0.003281,0.000057,0.000060,139.434369,139.413188,0.355301,0.343880
processed_data_batch_36.npz,150,150,78,72,0,0.023035,0.023032,0.000085,0.000080,1.454599,1.448512,0.040726,0.049684,0.003272,0.003269,0.000061,0.000061,139.407705,139.380884,0.334063,0.320145
processed_data_batch_37.npz,150,150,73,77,0,0.023046,0.023062,0.000203,0.000185,1.454016,1.450507,0.036657,0.039002,0.003317,0.003366,0.000193,0.000616,139.410066,139.381479,0.344973,1.038596
processed_data_batch_38.npz,150,150,75,75,0,0.023026,0.023033,0.000093,0.000097,1.452988,1.454396,0.035391,0.035598,0.003274,0.003314,0.000060,0.000486,139.368642,139.251437,0.363064,0.919900
processed_data_batch_39.npz,150,150,77,73,0,0.023080,0.023081,0.000081,0.000088,1.451522,1.457150,0.041943,0.037585,0.003268,0.003265,0.000067,0.000062,139.276852,139.272323,0.301829,0.309803
processed_data_batch_40.npz,150,150,69,81,0,0.023068,0.023091,0.000126,0.000272,1.449611,1.444360,0.047835,0.060326,0.003272,0.003376,0.000051,0.000766,139.191205,139.161213,0.382099,1.627663
processed_data_batch_41.npz,150,150,87,63,0,0.023087,0.023094,0.000105,0.000183,1.456641,1.452809,0.028854,0.032364,0.003288,0.003299,0.000063,0.000191,139.084168,139.144186,0.341020,0.372326
processed_data_batch_42.npz,150,150,85,65,0,0.023091,0.023092,0.000085,0.000086,1.434883,1.437394,0.076352,0.071576,0.003270,0.003270,0.000064,0.000058,139.026978,139.041463,0.322111,0.326613
processed_data_batch_43.npz,150,150,88,62,0,0.023090,0.023081,0.000161,0.000211,1.444357,1.446672,0.052921,0.047482,0.003291,0.003352,0.000130,0.000679,138.971153,139.061385,0.333323,1.314929
processed_data_batch_44.npz,150,150,84,66,0,0.023134,0.023128,0.000089,0.000102,1.457085,1.452660,0.029051,0.038150,0.003285,0.003286,0.000064,0.000086,138.638996,138.675639,0.333183,0.334014
processed_data_batch_45.npz,150,150,73,77,0,0.023104,0.023095,0.000104,0.000095,1.451083,1.448185,0.033122,0.034367,0.003280,0.003274,0.000063,0.000063,138.434225,138.456433,0.313822,0.309736
processed_data_batch_46.npz,150,150,76,74,0,0.023128,0.023153,0.000120,0.000231,1.432180,1.435122,0.063463,0.056085,0.003286,0.003339,0.000068,0.000529,137.857468,137.762317,0.307023,0.821893
processed_data_batch_47.npz,150,150,84,66,0,0.023188,0.023176,0.000096,0.000090,1.433765,1.431058,0.061361,0.056672,0.003271,0.003268,0.000072,0.000066,135.704201,135.799566,0.386443,0.396973
processed_data_batch_48.npz,150,150,74,76,0,0.023144,0.023135,0.000080,0.000081,1.372954,1.364223,0.045073,0.052941,0.003211,0.003210,0.000058,0.000060,121.887462,121.678356,2.001440,1.971689
