filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
resampled_data_batch_60.npz,2,139.261850,0.928518,138.987082,0.540222,139.163662,0.304435,138.955995,0.355884
resampled_data_batch_61.npz,2,139.358005,0.274274,139.184919,0.329054,139.369942,0.268491,139.213091,0.306575
resampled_data_batch_62.npz,2,139.442593,0.960236,139.226052,0.520421,139.448721,0.282294,139.231371,0.329894
resampled_data_batch_63.npz,2,139.460926,0.505003,139.273663,0.589942,139.525383,0.261589,139.346642,0.338472
resampled_data_batch_64.npz,2,139.600404,1.070283,139.415083,1.187321,139.498738,0.392585,139.303935,0.322522
resampled_data_batch_65.npz,2,139.571813,0.267324,139.368155,0.311626,139.562027,0.263876,139.358218,0.303515
resampled_data_batch_66.npz,2,139.627299,0.567892,139.447714,0.745801,139.622976,0.490023,139.399644,0.297949
resampled_data_batch_67.npz,2,139.592111,1.023659,139.401892,1.014207,139.702434,0.297973,139.510466,0.345347
resampled_data_batch_68.npz,2,139.676348,0.433415,139.547668,1.294342,139.644900,0.240342,139.446273,0.305044
resampled_data_batch_69.npz,2,139.683124,0.300146,139.511734,0.349521,139.700704,0.290709,139.532167,0.331556
resampled_data_batch_70.npz,2,139.738693,0.228718,139.547025,0.292921,139.748436,0.232935,139.573819,0.298841
resampled_data_batch_71.npz,2,139.717464,0.476702,139.534482,0.610215,139.671650,0.300532,139.486689,0.330348
resampled_data_batch_72.npz,2,139.743651,0.281665,139.551822,0.355656,139.755636,0.280806,139.574921,0.345581
resampled_data_batch_73.npz,2,139.649423,0.985825,139.378552,1.676331,139.740222,0.232377,139.538128,0.282881
resampled_data_batch_74.npz,2,139.760179,0.271409,139.565079,0.335165,139.751888,0.246315,139.564587,0.295987
resampled_data_batch_75.npz,2,139.692306,0.651999,139.526849,0.529781,139.702458,0.398457,139.542504,0.340951
resampled_data_batch_76.npz,2,139.737059,0.239266,139.541266,0.298893,139.725002,0.230580,139.527693,0.302868
resampled_data_batch_77.npz,2,139.666700,0.977725,139.501680,0.932281,139.815056,0.384655,139.626515,0.308682
resampled_data_batch_78.npz,2,139.775125,0.240798,139.580721,0.310991,139.789202,0.215644,139.609568,0.278973
resampled_data_batch_79.npz,2,139.815440,0.861159,139.628412,0.610661,139.788042,0.257814,139.579526,0.300031
resampled_data_batch_80.npz,2,139.841980,0.515360,139.622703,0.505643,139.799617,0.279282,139.570927,0.334619
resampled_data_batch_81.npz,2,139.864334,0.515317,139.637388,0.338773,139.836037,0.264819,139.646486,0.314741
resampled_data_batch_82.npz,2,139.810298,0.593164,139.648583,0.316446,139.850316,0.240694,139.650392,0.286599
resampled_data_batch_83.npz,2,139.892361,1.048883,139.710021,1.378376,139.824071,0.267550,139.643738,0.302546
resampled_data_batch_84.npz,2,139.717046,0.716025,139.496524,0.779796,139.761660,0.267757,139.555436,0.298079
resampled_data_batch_85.npz,2,139.788270,0.601274,139.635925,1.112688,139.764541,0.217030,139.553271,0.276907
resampled_data_batch_86.npz,2,139.694960,0.260108,139.499603,0.309316,139.702544,0.261046,139.499713,0.312657
resampled_data_batch_87.npz,2,139.695401,0.751979,139.549294,0.622156,139.702399,0.227579,139.503652,0.257870
resampled_data_batch_88.npz,2,139.814638,0.484078,139.672336,0.872927,139.783149,0.231665,139.600749,0.279310
resampled_data_batch_89.npz,2,139.881430,0.615807,139.694243,0.824216,139.836393,0.260674,139.626172,0.307260
resampled_data_batch_90.npz,2,139.891042,1.163429,139.792973,1.654683,139.829653,0.259875,139.630976,0.339146
resampled_data_batch_91.npz,2,139.771137,0.431645,139.615649,0.341120,139.797316,0.349280,139.648085,0.296583
resampled_data_batch_92.npz,2,139.833423,0.273135,139.643244,0.307471,139.826150,0.295776,139.637741,0.317588
resampled_data_batch_93.npz,2,139.847950,0.432940,139.643899,0.342477,139.838001,0.265365,139.654563,0.307172
resampled_data_batch_94.npz,2,139.811409,0.583780,139.644207,0.745417,139.845941,0.293452,139.670403,0.341166
resampled_data_batch_95.npz,2,139.824761,0.329950,139.624491,0.426576,139.846463,0.222551,139.636916,0.259224
resampled_data_batch_96.npz,2,139.887727,0.594895,139.647910,0.583240,139.802107,0.267488,139.591913,0.332511
resampled_data_batch_97.npz,2,139.803887,0.334984,139.628183,0.304164,139.768728,0.382591,139.609269,0.313845
resampled_data_batch_98.npz,2,139.895319,0.255267,139.710965,0.318196,139.895124,0.249472,139.719574,0.318649
resampled_data_batch_99.npz,2,139.785650,0.711122,139.560032,0.968840,139.857220,0.259416,139.671751,0.292792
resampled_data_batch_100.npz,2,139.794120,0.686428,139.588668,0.403477,139.774375,0.276622,139.607901,0.291774
resampled_data_batch_101.npz,2,139.836800,0.237899,139.655017,0.281110,139.815923,0.245697,139.647911,0.284785
resampled_data_batch_1.npz,3,139.364311,2.068477,139.191684,2.335125,139.574300,0.466075,139.371567,0.270950
resampled_data_batch_2.npz,3,139.983472,0.241555,139.744425,0.307918,140.004120,0.229395,139.776289,0.284899
resampled_data_batch_3.npz,3,139.674257,0.209726,139.407202,0.277823,139.682002,0.204943,139.424765,0.284450
resampled_data_batch_4.npz,3,139.757288,0.276550,139.461095,0.349557,139.783859,0.276505,139.487377,0.366363
resampled_data_batch_5.npz,3,140.052625,0.156173,139.812492,0.205516,140.053289,0.154029,139.806106,0.197450
resampled_data_batch_6.npz,3,139.892765,0.198700,139.646223,0.256825,139.901810,0.210303,139.643946,0.271089
resampled_data_batch_7.npz,3,139.885718,0.220721,139.632603,0.276746,139.880063,0.210709,139.627743,0.257148
resampled_data_batch_8.npz,3,139.764292,0.276022,139.517677,0.325629,139.759117,0.285173,139.517040,0.330313
resampled_data_batch_9.npz,3,140.083377,0.188925,139.857364,0.239983,140.082583,0.191200,139.851821,0.249194
resampled_data_batch_10.npz,3,139.852085,0.217862,139.614826,0.292231,139.824650,0.227760,139.593784,0.286248
resampled_data_batch_11.npz,3,139.799535,0.749954,139.502354,1.016881,139.901334,0.413000,139.601816,0.325210
resampled_data_batch_12.npz,3,139.410917,1.639987,139.300594,0.938744,139.576266,0.712507,139.437969,0.316048
resampled_data_batch_13.npz,3,139.139919,1.881155,138.807475,2.097889,139.445837,0.477986,139.130117,0.320595
resampled_data_batch_14.npz,3,138.467753,1.717396,138.282628,1.956360,138.422552,0.315472,138.141100,0.303683
resampled_data_batch_15.npz,3,131.912549,0.827331,131.657976,1.461839,131.981583,0.407888,131.762159,0.385308
resampled_data_batch_16.npz,3,112.820155,1.000349,112.600248,0.850198,112.938351,0.637329,112.677096,0.677395
resampled_data_batch_17.npz,3,86.739605,1.038590,86.448622,1.323255,86.689150,0.742597,86.499709,0.723615
resampled_data_batch_18.npz,3,72.078844,0.278386,71.885865,0.367285,72.085994,0.304482,71.926108,0.243580
resampled_data_batch_19.npz,3,75.735529,0.483745,75.579002,0.511477,75.844578,0.419843,75.676760,0.433977
resampled_data_batch_20.npz,3,96.669460,1.038755,96.476207,1.034078,96.543403,1.095783,96.393821,1.065568
resampled_data_batch_21.npz,3,122.822168,0.848350,122.639257,0.843662,122.823886,0.860983,122.634812,0.871892
resampled_data_batch_22.npz,3,136.111672,0.359761,135.897656,0.393756,136.105491,0.369271,135.886257,0.392199
resampled_data_batch_23.npz,3,139.208946,0.247711,139.003563,0.311345,139.189574,0.243109,138.967824,0.299488
resampled_data_batch_24.npz,3,139.504314,0.258654,139.297655,0.320726,139.494525,0.252251,139.291203,0.320389
resampled_data_batch_25.npz,3,139.558259,1.252960,139.389276,1.440584,139.589298,0.415559,139.333002,0.328690
resampled_data_batch_26.npz,3,139.733502,0.400635,139.510931,0.394829,139.731651,0.379854,139.516710,0.366747
resampled_data_batch_27.npz,3,139.617486,0.254965,139.397111,0.302310,139.633430,0.265071,139.412476,0.309668
resampled_data_batch_28.npz,3,139.751942,0.258960,139.552379,0.314926,139.738438,0.261327,139.554015,0.299516
resampled_data_batch_29.npz,3,139.760826,0.239070,139.562540,0.279354,139.745971,0.235015,139.546493,0.272415
resampled_data_batch_30.npz,3,139.806440,1.120114,139.571052,1.002356,139.689329,0.314008,139.477096,0.334908
resampled_data_batch_31.npz,3,139.602302,0.738553,139.370287,1.091375,139.662642,0.284241,139.480028,0.353653
resampled_data_batch_32.npz,3,139.701419,0.267242,139.506155,0.325529,139.701902,0.267474,139.500225,0.323310
resampled_data_batch_33.npz,3,139.713620,0.224253,139.504542,0.274925,139.726216,0.215325,139.524337,0.263907
resampled_data_batch_34.npz,3,139.733152,0.641234,139.553587,0.916864,139.701338,0.407190,139.491621,0.321295
resampled_data_batch_35.npz,3,139.637993,0.285104,139.432799,0.339047,139.641004,0.289958,139.459160,0.339515
resampled_data_batch_36.npz,3,139.604622,0.254999,139.399634,0.315995,139.634341,0.262566,139.430695,0.327120
resampled_data_batch_37.npz,3,139.635654,1.021352,139.402025,1.029800,139.659517,0.636001,139.428883,0.338186
resampled_data_batch_38.npz,3,139.429113,0.968911,139.270119,0.914625,139.560105,0.302584,139.406649,0.359580
resampled_data_batch_39.npz,3,139.500667,0.259011,139.291893,0.306445,139.497128,0.252619,139.290375,0.298174
resampled_data_batch_40.npz,3,139.471639,1.355832,139.182786,1.610921,139.415562,0.304399,139.216050,0.369653
resampled_data_batch_41.npz,3,139.388997,0.540875,139.164110,0.371407,139.313596,0.348769,139.102091,0.337205
resampled_data_batch_42.npz,3,139.261446,0.280075,139.059672,0.323046,139.238079,0.265535,139.051824,0.312915
resampled_data_batch_43.npz,3,139.233582,1.014450,139.079885,1.298646,139.173714,0.499193,138.983222,0.338532
resampled_data_batch_44.npz,3,138.897119,0.346493,138.695077,0.330935,138.876539,0.295510,138.659816,0.333906
resampled_data_batch_45.npz,3,138.664029,0.261014,138.475413,0.306056,138.640843,0.275079,138.433534,0.317079
resampled_data_batch_46.npz,3,138.007461,0.497543,137.781999,0.809506,138.041322,0.270914,137.870871,0.304926
resampled_data_batch_47.npz,3,136.025698,0.360116,135.818208,0.393199,135.975147,0.359739,135.748972,0.381056
resampled_data_batch_48.npz,3,121.858997,1.994130,121.693942,1.966298,122.135339,1.995024,121.960766,1.972833
resampled_data_batch_49.npz,3,69.024708,3.739547,68.878444,3.758894,69.033180,3.210303,69.216307,3.214519
resampled_data_batch_54.npz,3,66.214743,3.812872,66.055124,3.824777,68.318963,1.869219,68.046569,1.879498
resampled_data_batch_55.npz,3,120.811952,2.472188,120.598382,2.425506,120.755593,2.367332,120.562331,2.344642
resampled_data_batch_56.npz,3,136.040494,0.402566,135.858298,0.466467,136.014094,0.394065,135.814710,0.418054
resampled_data_batch_57.npz,3,138.076068,0.259047,137.879113,0.311527,138.071794,0.264782,137.886094,0.326717
resampled_data_batch_58.npz,3,138.645049,0.325819,138.444869,0.341386,138.655418,0.335576,138.461763,0.338656
resampled_data_batch_59.npz,3,139.008309,0.237586,138.805498,0.298535,138.996881,0.255640,138.787235,0.314661
resampled_data_batch_60.npz,3,139.269836,0.928188,138.994954,0.540112,139.162615,0.299981,138.961784,0.361754
resampled_data_batch_61.npz,3,139.365980,0.274445,139.193181,0.328866,139.379950,0.268009,139.211722,0.310721
resampled_data_batch_62.npz,3,139.450255,0.960013,139.234027,0.520139,139.453964,0.287806,139.245888,0.327177
resampled_data_batch_63.npz,3,139.468485,0.505575,139.281176,0.590016,139.521293,0.269175,139.353450,0.341539
resampled_data_batch_64.npz,3,139.607802,1.070219,139.422681,1.186940,139.477863,0.307619,139.314739,0.322189
resampled_data_batch_65.npz,3,139.579832,0.267326,139.376317,0.311759,139.584745,0.273133,139.376171,0.304298
resampled_data_batch_66.npz,3,139.635115,0.568073,139.456012,0.745728,139.659811,0.429190,139.415644,0.295368
resampled_data_batch_67.npz,3,139.599837,1.023798,139.410258,1.014078,139.715164,0.303795,139.527214,0.346259
