filename,I0_mean_orig,I0_mean_filt,I0_std_orig,I0_std_filt,tau_mean_orig,tau_mean_filt,tau_std_orig,tau_std_filt,B_mean_orig,B_mean_filt,B_std_orig,B_std_filt,residuals_std_mean_orig,residuals_std_mean_filt,residuals_std_std_orig,residuals_std_std_filt
processed_data_batch_33.npz,1.450354,1.450353,0.047774,0.047773,139.483165,139.483251,0.279850,0.279822,0.023076,0.023076,0.000096,0.000096,0.003292,0.002944,0.000060,0.000060
processed_data_batch_34.npz,1.450504,1.450036,0.042769,0.043615,139.535093,139.675981,0.938306,2.005558,0.023065,0.022984,0.000219,0.000780,0.003334,0.003098,0.000447,0.001337
processed_data_batch_35.npz,1.444351,1.444350,0.046886,0.046886,139.411402,139.411536,0.344973,0.345005,0.023080,0.023080,0.000100,0.000100,0.003306,0.002946,0.000061,0.000065
processed_data_batch_36.npz,1.448512,1.448510,0.049684,0.049684,139.378943,139.379054,0.321867,0.321822,0.023039,0.023039,0.000085,0.000085,0.003293,0.002942,0.000063,0.000058
processed_data_batch_37.npz,1.450507,1.450240,0.039002,0.038910,139.378603,139.452828,1.041318,1.408287,0.023071,0.023024,0.000205,0.000458,0.003395,0.003134,0.000642,0.001324
processed_data_batch_38.npz,1.454396,1.454379,0.035598,0.035644,139.250810,139.253774,0.920570,0.888527,0.023036,0.023035,0.000105,0.000105,0.003340,0.003011,0.000506,0.000646
processed_data_batch_39.npz,1.457150,1.457150,0.037585,0.037584,139.270772,139.270838,0.310741,0.310690,0.023087,0.023087,0.000093,0.000093,0.003289,0.002951,0.000063,0.000066
processed_data_batch_40.npz,1.444360,1.444082,0.060326,0.060599,139.158003,139.225506,1.634433,1.154457,0.023101,0.023063,0.000297,0.000192,0.003405,0.003140,0.000795,0.001569
processed_data_batch_41.npz,1.452809,1.452566,0.032364,0.032913,139.142108,139.211389,0.371903,1.001177,0.023101,0.023061,0.000202,0.000335,0.003325,0.003057,0.000197,0.001146
processed_data_batch_42.npz,1.437394,1.437393,0.071576,0.071576,139.039632,139.039736,0.328613,0.328604,0.023098,0.023098,0.000091,0.000091,0.003294,0.002948,0.000059,0.000076
processed_data_batch_43.npz,1.446672,1.446602,0.047482,0.047486,139.060895,139.078853,1.323694,1.337208,0.023084,0.023073,0.000235,0.000307,0.003379,0.003084,0.000706,0.000904
processed_data_batch_44.npz,1.452660,1.452659,0.038150,0.038150,138.674086,138.674207,0.335373,0.335351,0.023134,0.023134,0.000111,0.000111,0.003311,0.002967,0.000089,0.000106
processed_data_batch_45.npz,1.448185,1.448184,0.034367,0.034367,138.454485,138.454569,0.310762,0.310796,0.023102,0.023102,0.000099,0.000099,0.003299,0.002953,0.000064,0.000074
processed_data_batch_46.npz,1.435122,1.434618,0.056085,0.056285,137.760181,137.890553,0.828497,0.867921,0.023160,0.023085,0.000252,0.000463,0.003366,0.003170,0.000549,0.001770
processed_data_batch_47.npz,1.431058,1.431057,0.056672,0.056672,135.797796,135.797884,0.397414,0.397424,0.023182,0.023182,0.000095,0.000095,0.003292,0.002940,0.000067,0.000075
processed_data_batch_48.npz,1.364223,1.364222,0.052941,0.052941,121.676795,121.676917,1.971050,1.971035,0.023141,0.023141,0.000086,0.000086,0.003231,0.002870,0.000062,0.000073
processed_data_batch_49.npz,0.995751,0.995749,0.048126,0.048127,68.866107,68.866254,3.772059,3.772003,0.023095,0.023095,0.000075,0.000075,0.003031,0.002666,0.000095,0.000099
processed_data_batch_50.npz,0.299197,0.299192,0.036655,0.036656,26.262782,26.263255,1.516223,1.516143,0.023010,0.023010,0.000054,0.000054,0.002897,0.002495,0.000059,0.000080
processed_data_batch_51.npz,0.047593,0.047578,0.005444,0.005442,13.796832,13.801287,0.472391,0.472084,0.023008,0.023008,0.000057,0.000057,0.002874,0.002487,0.000057,0.000075
processed_data_batch_52.npz,0.044307,0.044292,0.004735,0.004738,13.598745,13.603684,0.446440,0.446713,0.023040,0.023040,0.000058,0.000058,0.002889,0.002480,0.000058,0.000072
processed_data_batch_53.npz,0.263928,0.263922,0.036210,0.036211,24.842729,24.843241,1.454806,1.454682,0.023043,0.023043,0.000060,0.000060,0.002894,0.002499,0.000059,0.000069
processed_data_batch_54.npz,0.958735,0.958690,0.054139,0.054286,66.044405,66.052507,3.837541,3.826173,0.023125,0.023123,0.000091,0.000075,0.003045,0.002670,0.000189,0.000296
processed_data_batch_55.npz,1.359102,1.359101,0.050035,0.050035,120.578907,120.579017,2.431797,2.431821,0.023238,0.023238,0.000104,0.000104,0.003225,0.002875,0.000061,0.000069
processed_data_batch_56.npz,1.428924,1.428922,0.047653,0.047653,135.838870,135.839002,0.471914,0.471868,0.023230,0.023230,0.000118,0.000118,0.003325,0.002990,0.000249,0.000262
processed_data_batch_57.npz,1.418360,1.418359,0.064287,0.064288,137.858981,137.859104,0.316416,0.316419,0.023244,0.023244,0.000091,0.000091,0.003296,0.002933,0.000064,0.000068
processed_data_batch_58.npz,1.431432,1.431432,0.057457,0.057457,138.422386,138.422483,0.346945,0.346929,0.023279,0.023279,0.000116,0.000116,0.003297,0.002960,0.000065,0.000083
