filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC,tau_mean_robust,tau_std_robust,tau_mean_robust_QC,tau_std_robust_QC
resampled_data_batch_41.npz,2,139.381137,0.541034,139.155886,0.371810,139.306458,0.348474,139.095584,0.338617,139.151891,0.356728,139.096801,0.330031
resampled_data_batch_42.npz,2,139.253901,0.280424,139.051549,0.323065,139.234219,0.275110,139.027873,0.318996,139.053383,0.314998,139.030111,0.310530
resampled_data_batch_43.npz,2,139.225607,1.014533,139.071793,1.298772,139.174998,0.489049,138.980445,0.330118,139.056244,1.086095,138.983680,0.319188
resampled_data_batch_44.npz,2,138.889649,0.346641,138.687009,0.330932,138.859691,0.288658,138.654657,0.329173,138.688301,0.323994,138.657804,0.322989
resampled_data_batch_45.npz,2,138.656341,0.261053,138.467588,0.306454,138.640163,0.260960,138.436537,0.311886,138.467810,0.296087,138.442469,0.299366
resampled_data_batch_46.npz,2,138.000140,0.497516,137.773822,0.809435,138.024017,0.266417,137.867319,0.298928,137.790017,0.628266,137.865909,0.288638
resampled_data_batch_47.npz,2,136.018149,0.360218,135.810319,0.393370,135.964657,0.355654,135.728431,0.378456,135.814987,0.384568,135.734069,0.364317
resampled_data_batch_48.npz,2,121.852114,1.993847,121.686873,1.965911,122.068288,2.028643,121.896343,1.989282,121.685417,1.966882,121.895899,1.987800
resampled_data_batch_49.npz,2,69.019970,3.739483,68.873551,3.758863,68.971393,3.265512,69.023423,3.312427,68.874852,3.758841,69.026448,3.308133
resampled_data_batch_54.npz,2,66.211296,3.812599,66.051106,3.824772,68.292280,1.967633,68.143417,1.944003,66.050353,3.832777,68.145788,1.945813
resampled_data_batch_55.npz,2,120.805226,2.471905,120.591024,2.425281,120.829898,2.293912,120.554298,2.369570,120.593469,2.429819,120.630151,2.310527
resampled_data_batch_56.npz,2,136.032529,0.402798,135.850432,0.466451,136.006747,0.388411,135.783186,0.412867,135.837331,0.431750,135.782575,0.405492
