num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.839407,0.114032,139.664290,0.154785,139.854274,0.086590,139.685171,0.150231
20,139.912248,0.127832,139.771060,0.199711,139.903346,0.091092,139.795712,0.191422
30,139.890643,0.151036,139.720434,0.242922,139.907039,0.130299,139.772182,0.232327
40,139.845037,0.172840,139.681225,0.241333,139.875350,0.159384,139.746977,0.225590
50,139.780241,0.218862,139.608206,0.283304,139.805972,0.224866,139.660862,0.295834
60,139.757095,0.218405,139.574130,0.280338,139.781725,0.219897,139.617010,0.290121
70,139.755484,0.209691,139.570708,0.276096,139.779324,0.209091,139.606153,0.288706
80,139.777410,0.209941,139.591363,0.269053,139.792390,0.207397,139.614520,0.278009
90,139.792895,0.205603,139.615216,0.267335,139.806495,0.204623,139.640256,0.278056
100,139.792895,0.205603,139.615216,0.267335,139.806495,0.204623,139.640256,0.278056
110,139.792895,0.205603,139.615216,0.267335,139.806495,0.204623,139.640256,0.278056
120,139.792895,0.205603,139.615216,0.267335,139.806495,0.204623,139.640256,0.278056
130,139.792895,0.205603,139.615216,0.267335,139.806495,0.204623,139.640256,0.278056
140,139.792895,0.205603,139.615216,0.267335,139.806495,0.204623,139.640256,0.278056
150,139.792895,0.205603,139.615216,0.267335,139.806495,0.204623,139.640256,0.278056
