num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.759712,0.155392,139.525039,0.147994,139.736274,0.148580,139.512721,0.144742
20,139.789666,0.166938,139.555373,0.216488,139.748866,0.187327,139.504940,0.224089
30,139.788507,0.162109,139.540108,0.237563,139.765019,0.170127,139.499823,0.205005
40,139.809911,0.165131,139.557957,0.236460,139.785271,0.180862,139.527150,0.221814
50,139.820592,0.164319,139.578289,0.231796,139.804199,0.180073,139.558298,0.228544
60,139.828387,0.160049,139.584059,0.236238,139.821995,0.171686,139.578222,0.229309
70,139.810428,0.188089,139.554931,0.254016,139.791226,0.208379,139.533933,0.258572
80,139.801436,0.199389,139.551448,0.253970,139.778659,0.224831,139.525103,0.261906
90,139.784736,0.212498,139.531292,0.261100,139.768453,0.237418,139.512309,0.266116
100,139.784736,0.212498,139.531292,0.261100,139.768453,0.237418,139.512309,0.266116
110,139.784736,0.212498,139.531292,0.261100,139.768453,0.237418,139.512309,0.266116
120,139.784736,0.212498,139.531292,0.261100,139.768453,0.237418,139.512309,0.266116
130,139.784736,0.212498,139.531292,0.261100,139.768453,0.237418,139.512309,0.266116
140,139.784736,0.212498,139.531292,0.261100,139.768453,0.237418,139.512309,0.266116
150,139.784736,0.212498,139.531292,0.261100,139.768453,0.237418,139.512309,0.266116
