num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.774476,0.207598,139.635783,0.262122,139.774476,0.207598,139.635783,0.262122
20,139.736149,0.175071,139.576573,0.238960,139.748646,0.196553,139.618503,0.235479
30,139.802424,0.197758,139.623096,0.242196,139.810183,0.210255,139.668644,0.246013
40,139.850974,0.199696,139.642963,0.236076,139.823818,0.205875,139.674501,0.241395
50,139.867414,0.195339,139.675561,0.236886,139.842743,0.199488,139.700844,0.242567
60,139.927852,0.704847,139.659281,0.310895,139.807045,0.219133,139.664464,0.261913
70,139.881758,0.665440,139.615374,0.313983,139.780555,0.227784,139.636017,0.268818
80,139.758733,0.917372,139.539632,0.488199,139.743927,0.240195,139.579549,0.294099
90,139.750641,0.868464,139.538303,0.466443,139.738424,0.241608,139.568061,0.290223
100,139.750641,0.868464,139.538303,0.466443,139.738424,0.241608,139.568061,0.290223
110,139.750641,0.868464,139.538303,0.466443,139.738424,0.241608,139.568061,0.290223
120,139.750641,0.868464,139.538303,0.466443,139.738424,0.241608,139.568061,0.290223
130,139.750641,0.868464,139.538303,0.466443,139.738424,0.241608,139.568061,0.290223
140,139.750641,0.868464,139.538303,0.466443,139.738424,0.241608,139.568061,0.290223
150,139.750641,0.868464,139.538303,0.466443,139.738424,0.241608,139.568061,0.290223
