num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.844750,0.292386,139.736344,0.195216,139.953224,0.182128,139.748647,0.220432
20,140.371014,2.829813,140.462895,4.079305,139.811832,0.255264,139.523486,0.380215
30,140.129940,2.338393,140.147510,3.363809,139.734684,0.231652,139.500039,0.311607
40,140.043252,2.032973,140.010708,2.924319,139.757489,0.213427,139.538193,0.284618
50,140.020781,1.820998,139.943798,2.620341,139.769167,0.201568,139.552256,0.264628
60,140.015441,1.664700,139.926130,2.394862,139.824876,0.222189,139.613846,0.285270
70,140.000773,1.545398,139.900645,2.221570,139.839207,0.225660,139.641405,0.294106
80,139.957414,1.452393,139.843018,2.087757,139.808236,0.244063,139.606089,0.329970
90,139.903439,1.378740,139.777176,1.978574,139.782217,0.259758,139.573767,0.346519
100,139.903439,1.378740,139.777176,1.978574,139.782217,0.259758,139.573767,0.346519
110,139.903439,1.378740,139.777176,1.978574,139.782217,0.259758,139.573767,0.346519
120,139.903439,1.378740,139.777176,1.978574,139.782217,0.259758,139.573767,0.346519
130,139.903439,1.378740,139.777176,1.978574,139.782217,0.259758,139.573767,0.346519
140,139.903439,1.378740,139.777176,1.978574,139.782217,0.259758,139.573767,0.346519
150,139.903439,1.378740,139.777176,1.978574,139.782217,0.259758,139.573767,0.346519
