num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.736947,0.253240,139.578781,0.354336,139.687999,0.121374,139.485635,0.067911
20,139.796668,0.261125,139.603011,0.343716,139.841675,0.238697,139.648893,0.238468
30,139.832780,0.248936,139.649912,0.325116,139.879412,0.212854,139.696432,0.245758
40,139.809686,0.241151,139.618480,0.316348,139.817352,0.223334,139.616831,0.258352
50,139.841889,0.231060,139.650726,0.302072,139.835131,0.208195,139.631591,0.251865
60,139.852753,0.727833,139.796399,0.985349,139.885983,0.239231,139.698877,0.288771
70,139.851610,0.682850,139.787819,0.915476,139.898998,0.230825,139.708510,0.277561
80,139.982318,1.565129,139.963023,2.229721,139.866355,0.245765,139.652450,0.324914
90,139.945149,1.480854,139.913436,2.108650,139.829246,0.247504,139.624312,0.312724
100,139.928953,1.407034,139.882122,2.003554,139.825837,0.236379,139.623663,0.297830
110,139.929129,1.342847,139.863398,1.912059,139.826430,0.228425,139.624129,0.286268
120,139.934097,1.287284,139.861265,1.832306,139.850769,0.231542,139.650497,0.289859
130,139.932456,1.239324,139.852531,1.763044,139.856926,0.232007,139.663510,0.293401
140,139.912560,1.197961,139.823038,1.705092,139.834862,0.245211,139.638307,0.319343
150,139.883165,1.163214,139.784865,1.654481,139.816350,0.257840,139.615470,0.333654
