num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.682036,0.130094,139.549296,0.225460,139.733566,0.172271,139.523070,0.320058
20,139.619793,0.158605,139.469282,0.227899,139.610592,0.180914,139.431671,0.272082
30,139.455058,0.272312,139.261144,0.355770,139.480886,0.287078,139.289377,0.354364
40,139.407161,0.257377,139.193020,0.343946,139.457366,0.278206,139.266988,0.339008
50,139.395196,0.247467,139.168580,0.329157,139.419849,0.265853,139.185552,0.335048
60,139.433031,0.263582,139.210124,0.329885,139.466013,0.279278,139.231981,0.336164
70,139.480093,0.277280,139.265649,0.341705,139.519254,0.296419,139.305914,0.361795
80,139.514535,0.276619,139.302806,0.343000,139.555313,0.298192,139.359863,0.374362
90,139.508312,0.263893,139.295645,0.326336,139.538727,0.284783,139.343458,0.355911
100,139.606550,1.110557,139.376601,0.925455,139.528220,0.274348,139.329244,0.343420
110,139.572159,1.067720,139.350611,0.891049,139.492985,0.305568,139.303903,0.353088
120,139.536931,1.029301,139.312870,0.864244,139.448002,0.311936,139.246216,0.371199
130,139.509623,0.994410,139.283674,0.838042,139.421052,0.312333,139.210908,0.374244
140,139.503772,0.970823,139.267168,0.817817,139.441143,0.365330,139.211582,0.375532
150,139.456110,1.355677,139.166661,1.611386,139.425951,0.364220,139.194146,0.376834
