num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,139.191184,0.219262,139.011390,0.269681,139.171264,0.218297,138.983581,0.276201
20,139.100238,0.227409,138.912235,0.261403,139.075094,0.239193,138.858964,0.281540
30,139.242664,0.281044,139.045904,0.308886,139.246448,0.303794,139.050046,0.352577
40,139.262610,0.262480,139.077584,0.301041,139.274902,0.285624,139.092364,0.343798
50,139.220200,0.256358,139.039300,0.289538,139.235336,0.275206,139.053093,0.324283
60,139.295732,0.834533,139.018328,0.406744,139.206788,0.281609,139.009987,0.334050
70,139.253425,0.782001,138.982031,0.396511,139.170606,0.283376,138.965356,0.342717
80,139.337560,1.238395,138.997775,0.660794,139.151530,0.308429,138.921335,0.355353
90,139.337411,1.169372,139.022683,0.632719,139.172326,0.307787,138.952759,0.359145
100,139.351745,1.110398,139.053893,0.608874,139.200636,0.309598,138.988430,0.364187
110,139.344474,1.059806,139.056764,0.582877,139.210396,0.297895,139.000235,0.353230
120,139.331960,1.017405,139.053111,0.561479,139.216042,0.291400,139.008570,0.345013
130,139.307778,0.983484,139.032275,0.550945,139.195452,0.299492,138.990962,0.351125
140,139.283191,0.954251,139.011569,0.542501,139.175416,0.299156,138.968452,0.351467
150,139.254086,0.928759,138.979018,0.540468,139.159982,0.302562,138.947237,0.359426
