num_signals,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
10,94.672696,0.448639,94.461908,0.474222,94.694727,0.427659,94.427390,0.420003
20,94.927257,0.472077,94.725471,0.490213,94.868631,0.402163,94.667539,0.467753
30,95.135926,0.494848,94.942970,0.514980,95.153954,0.457417,94.947521,0.489955
40,95.319885,0.545163,95.131030,0.560495,95.256738,0.495293,95.106179,0.545743
50,95.463845,0.576236,95.275165,0.588090,95.368569,0.550096,95.199127,0.572550
60,95.600475,0.619094,95.411362,0.623252,95.586031,0.634062,95.407239,0.638517
70,95.722656,0.656723,95.538560,0.663642,95.815956,0.676928,95.621375,0.685968
80,95.864070,0.729074,95.678569,0.729900,95.963009,0.748740,95.765004,0.751795
90,95.996029,0.789153,95.803135,0.777697,96.001922,0.770773,95.800853,0.768752
100,96.124005,0.843637,95.930217,0.832408,96.195430,0.850593,95.956961,0.828319
110,96.243870,0.891070,96.047538,0.877168,96.259275,0.878234,96.024177,0.860670
120,96.354362,0.931893,96.154382,0.915149,96.340334,0.905638,96.107304,0.888971
130,96.460133,0.970636,96.261189,0.956233,96.459809,0.957771,96.233645,0.949431
140,96.562853,1.007965,96.365540,0.996899,96.563744,0.992130,96.341577,0.986501
150,96.658674,1.038810,96.464879,1.033770,96.623441,1.021411,96.407382,1.025313
